"","GEOID","medianhhincome_2019","aian_2019","asian_2019","hhlivingalone_2019","black_2019","blackmedianincome_2019","blackpoverty_2019","familyhouseholds_2019","fouryeardegree_2019","graddegree_2019","hsgrad_2019","latino_2019","latinopoverty_2019","lessthanhs_2019","medianage_2019","grossrent_2019","medianyearbuilt_2019","monthlyhousingcost_2019","multipleraces_2019","nonfamilyhouseholds_2019","numberofhousingunits_2019","over25population_2019","poverty_2019","totalpopulation_2019","vacantunits_2019","white_2019","white25andolder_2019","whitemedianincome_2019","whitepoverty_2019","renters_2019","occupiedunits_2019","vacancyrate_2019","pctwhite_2019","pctblack_2019","pctlatino_2019","pctwhitepoverty_2019","pctblackpoverty_2019","pctlatinopoverty_2019","pctpoverty_2019","pctlessthanhs_2019","pcthsgrad_2019","pctfouryeardegree_2019","pctgraddegree_2019","pctrenters_2019"
"11",39049000600,51883,0,189,727,304,40912,144,508,1047,611,205,178,178,116,28.2,896,0,937,0,1200,2006,2597,812,3643,298,2955,2176,58717,560,1272,3643,14.8554336989033,81.1144660993687,8.34477079330222,4.88608289870985,18.9509306260575,47.3684210526316,100,22.289321987373,4.46669233731228,7.89372352714671,40.3157489410859,23.5271467077397,34.9162777930277
"12",39049000710,33154,0,33,396,1075,27232,282,855,211,121,868,260,260,476,35,915,1952,836,15,485,1537,2204,922,3427,197,2103,1429,35500,505,812,3427,12.8171763175016,61.3656259118763,31.3685439159615,7.58681062153487,24.0133143128864,26.2325581395349,100,26.9039976655967,21.5970961887477,39.3829401088929,9.57350272232305,5.49001814882033,23.6941931718704
"13",39049000720,25477,0,0,358,1440,19650,563,554,59,11,594,98,98,482,32.5,849,1955,816,0,423,1161,1582,1118,2559,184,972,615,29167,484,650,2559,15.848406546081,37.9835873388042,56.2719812426729,3.82962094568191,49.7942386831276,39.0972222222222,100,43.6889409925752,30.4677623261694,37.5474083438685,3.72945638432364,0.695322376738306,25.4005470887065
"14",39049000730,23007,0,0,309,2992,19444,1908,858,197,59,628,501,501,654,31.8,899,1948,828,0,431,1698,2253,2269,3660,409,495,304,NA,331,740,3660,24.0871613663133,13.5245901639344,81.7486338797814,13.6885245901639,66.8686868686869,63.7700534759358,100,61.9945355191257,29.0279627163782,27.8739458499778,8.74389702618731,2.61873058144696,20.2185792349727
"15",39049000810,40505,0,0,404,865,40857,381,508,221,94,656,54,54,188,33.7,1003,1956,901,54,553,1183,1717,812,2641,122,1706,1201,41667,377,483,2625,10.312764158918,64.5967436577054,32.7527451722832,2.04468004543733,22.0984759671747,44.0462427745665,100,30.7459295721318,10.9493302271404,38.2061735585323,12.8712871287129,5.47466511357018,18.4
"16",39049000820,31333,0,62,443,1491,22069,697,740,302,54,745,62,62,352,38.9,690,1947,740,0,516,1519,2102,935,3090,263,1484,1121,58750,203,532,3085,17.3140223831468,48.0258899676375,48.252427184466,2.00647249190939,13.6792452830189,46.747149564051,100,30.2588996763754,16.7459562321598,35.442435775452,14.3672692673644,2.56898192197907,17.2447325769854
"17",39049000910,33214,0,11,395,2528,32781,820,688,124,42,858,163,163,581,31.4,851,1944,800,0,576,1616,2216,1354,3733,352,844,531,36157,256,722,3733,21.7821782178218,22.6091615322797,67.7203321725154,4.36646129118671,30.3317535545024,32.4367088607595,100,36.2710956335387,26.2184115523466,38.7184115523466,5.5956678700361,1.89530685920578,19.3410125904099
"18",39049000920,31017,0,0,193,1361,30464,469,536,75,19,433,246,246,413,27.8,757,1947,651,0,201,1047,1352,803,2401,310,442,387,33047,117,365,2401,29.6084049665712,18.4089962515618,56.6847147022074,10.2457309454394,26.4705882352941,34.4599559147685,100,33.4443981674302,30.5473372781065,32.0266272189349,5.54733727810651,1.40532544378698,15.2019991670137
"19",39049001000,51184,0,341,488,359,NA,359,491,1225,456,247,87,87,55,23.8,1106,1944,1102,56,1530,2157,2649,2724,6092,136,5161,2269,52740,2031,1676,6087,6.30505331478906,84.7176625082075,5.89297439264609,1.42810242941563,39.3528385971711,100,100,44.7143795141169,2.07625519063798,9.32427331068328,46.243865609664,17.2140430351076,27.5340890422211
"20",39049001110,16528,0,537,285,47,NA,25,61,165,124,42,48,5,9,21.6,1150,1971,1156,0,786,1092,421,1595,2828,245,2136,295,19598,1165,807,2354,22.4358974358974,75.5304101838755,1.66195190947666,1.6973125884017,54.5411985018727,53.1914893617021,10.4166666666667,56.4002828854314,2.13776722090261,9.97624703087886,39.1923990498812,29.4536817102138,34.2820730671198
"21",39049001121,NA,0,960,36,627,NA,0,0,63,41,3,381,0,0,19.4,658,1950,658,18,46,93,111,53,10233,47,8300,101,8750,53,46,71,50.5376344086022,81.1101338805824,6.12723541483436,3.72324831427734,0.63855421686747,0,0,0.517932180201309,0,2.7027027027027,56.7567567567568,36.9369369369369,64.7887323943662
"22",39049001122,29205,0,828,239,237,NA,44,219,213,362,40,155,105,18,19.7,792,1970,836,0,384,772,739,387,3101,169,1977,462,31607,236,475,1266,21.8911917098446,63.75362786198,7.64269590454692,4.99838761689777,11.9372787051088,18.5654008438819,67.741935483871,12.4798452112222,2.43572395128552,5.4127198917456,28.8227334235453,48.9851150202977,37.519747235387
"23",39049001200,30841,0,280,292,258,23846,160,185,371,112,60,218,201,51,21.7,1014,1967,991,11,934,1364,699,2238,4202,245,3416,570,33984,1806,1055,3697,17.9618768328446,81.2946216087577,6.13993336506426,5.18800571156592,52.8688524590164,62.015503875969,92.2018348623853,53.2603522132318,7.29613733905579,8.58369098712446,53.0758226037196,16.0228898426323,28.5366513389235
"24",39049001300,22500,0,401,604,362,40698,118,151,243,55,173,180,159,75,21.6,955,1970,968,7,1489,1881,818,3380,5847,241,4887,506,20660,2963,1607,4798,12.8123338649654,83.5813237557722,6.19120916709424,3.07850179579271,60.6302435031717,32.5966850828729,88.3333333333333,57.8074226098854,9.16870415647922,21.1491442542787,29.7066014669927,6.72371638141809,33.4931221342226
"25",39049001400,22188,0,0,227,1264,23864,516,383,63,12,380,80,80,286,27.9,772,1949,688,0,277,750,1028,797,1847,90,303,222,NA,182,427,1703,12,16.4049810503519,68.4353004872767,4.33134813210612,60.0660066006601,40.8227848101266,100,43.1510557661072,27.8210116731518,36.9649805447471,6.1284046692607,1.16731517509728,25.0733998825602
"26",39049001500,23750,0,0,248,1490,17000,769,376,26,13,432,196,196,210,20.7,576,1981,590,0,288,801,908,877,1973,137,286,215,34286,108,550,1973,17.103620474407,14.4956918398378,75.5195134313229,9.9341104916371,37.7622377622378,51.6107382550336,100,44.4500760263558,23.1277533039648,47.5770925110132,2.86343612334802,1.43171806167401,27.8763304612266
"27",39049001600,38426,0,18,267,661,23438,388,316,288,166,158,197,197,108,26.5,946,1948,937,0,506,1052,1108,800,1944,230,968,668,62222,209,676,1935,21.8631178707224,49.7942386831276,34.0020576131687,10.1337448559671,21.5909090909091,58.6989409984871,100,41.1522633744856,9.74729241877256,14.2599277978339,25.9927797833935,14.9819494584838,34.9354005167959
"28",39049001700,29889,0,211,485,582,NA,313,306,458,240,243,376,372,150,22.9,995,1974,1036,0,928,1367,1301,1554,3242,133,2272,1010,30417,1057,1093,3149,9.72933430870519,70.0801974090068,17.9518815545959,11.5977791486737,46.5228873239437,53.7800687285223,98.936170212766,47.9333744602097,11.5295926210607,18.6779400461184,35.2036894696387,18.4473481936972,34.7094315655764
"29",39049001810,23269,0,435,680,269,24091,73,107,763,309,10,152,135,23,22.4,859,1972,858,33,1329,1623,1290,2329,4119,187,3160,881,23163,1890,1420,3601,11.5218730745533,76.7176499150279,6.53071133770333,3.6902160718621,59.8101265822785,27.1375464684015,88.8157894736842,56.5428502063608,1.78294573643411,0.775193798449612,59.1472868217054,23.953488372093,39.4334906970286
"30",39049001820,60404,10,164,626,73,183036,8,358,737,545,273,180,180,10,29.1,888,1949,1064,0,993,1522,1841,485,2597,171,2159,1531,63158,371,928,2593,11.2352168199737,83.1343858298036,2.81093569503273,6.93107431651906,17.1838814265864,10.958904109589,100,18.6753946861764,0.543183052688756,14.828897338403,40.0325909831613,29.6034763715372,35.78866178172
"31",39049001901,55829,0,187,1207,203,NA,81,303,897,712,117,75,75,133,29.8,1134,1994,1151,0,1604,2065,2221,449,2813,158,2344,1829,60781,309,1713,2813,7.65133171912833,83.3274084607181,7.21649484536082,2.66619267685745,13.1825938566553,39.9014778325123,100,15.9616068254533,5.9882935614588,5.26789734353895,40.3872129671319,32.0576316974336,60.8958407394241
"32",39049001902,55484,0,147,1572,48,NA,21,442,1801,821,323,427,427,41,29.1,987,1955,995,14,2179,2758,3482,301,4115,137,3827,3255,58889,239,2284,4104,4.96736765772299,93.0012150668287,1.16646415552855,10.3766707168894,6.24510060099295,43.75,100,7.31470230862698,1.17748420448018,9.27627800114876,51.7231476163125,23.5784032165422,55.6530214424951
"33",39049002000,94375,0,68,724,389,13848,329,553,1364,706,115,51,51,69,31.1,1306,0,1454,0,1187,1938,2786,438,3400,198,2849,2515,95923,94,1027,3395,10.2167182662539,83.7941176470588,11.4411764705882,1.5,3.2994032994033,84.5758354755784,100,12.8823529411765,2.47666905958363,4.12778176597272,48.9590811198851,25.3409906676238,30.2503681885125
"34",39049002100,91728,0,129,734,80,NA,3,228,1034,758,37,92,92,3,28.7,1183,1946,1248,0,1119,1396,2004,179,2415,49,2181,1844,91176,171,1025,2399,3.51002865329513,90.3105590062112,3.31262939958592,3.80952380952381,7.8404401650619,3.75,100,7.4120082815735,0.149700598802395,1.84630738522954,51.5968063872255,37.8243512974052,42.7261358899542
"35",39049002200,83037,0,132,596,306,NA,224,366,800,610,59,96,96,43,28.8,1243,1958,1398,0,934,1452,1675,422,2310,152,1787,1340,83533,188,901,2310,10.4683195592287,77.3593073593074,13.2467532467532,4.15584415584416,10.5204252937885,73.202614379085,100,18.2683982683983,2.56716417910448,3.52238805970149,47.7611940298507,36.4179104477612,39.004329004329
"36",39049002300,33918,0,5,183,1025,34174,74,333,66,30,405,36,36,169,32.5,869,1940,803,0,205,790,882,199,1395,252,270,203,32813,96,289,1395,31.8987341772152,19.3548387096774,73.4767025089606,2.58064516129032,35.5555555555556,7.21951219512195,100,14.2652329749104,19.1609977324263,45.9183673469388,7.48299319727891,3.40136054421769,20.7168458781362
"37",39049002510,38750,0,0,432,2269,37853,540,684,253,137,529,154,154,374,36.7,918,1956,753,8,466,1345,1859,696,2850,195,464,332,39583,156,394,2742,14.4981412639405,16.280701754386,79.6140350877193,5.40350877192982,33.6206896551724,23.7990304098722,100,24.4210526315789,20.1183431952663,28.45615922539,13.6094674556213,7.36955352339968,14.3690736688549
"38",39049002520,41071,0,50,630,2099,35500,878,662,378,199,499,67,67,257,33.1,718,1950,781,0,730,1655,2144,1098,3105,263,745,621,55192,132,799,2962,15.8912386706949,23.9935587761675,67.6006441223833,2.15780998389694,17.7181208053691,41.8294425917103,100,35.3623188405797,11.9869402985075,23.2742537313433,17.6305970149254,9.28171641791045,26.9750168804862
"39",39049002600,24592,0,10,576,2293,20833,1089,829,144,119,947,371,371,388,31.8,661,1963,641,70,694,1892,2435,1836,3875,369,1031,803,36500,418,1076,3717,19.5031712473573,26.6064516129032,59.1741935483871,9.5741935483871,40.5431619786615,47.4923680767553,100,47.3806451612903,15.9342915811088,38.8911704312115,5.91375770020534,4.8870636550308,28.9480764057035
"40",39049002710,28179,0,0,592,1559,28542,324,413,140,53,501,89,89,209,29.6,767,1969,767,7,688,1217,1322,525,2084,116,444,296,21528,178,1090,2084,9.531635168447,21.3051823416507,74.8080614203455,4.27063339731286,40.0900900900901,20.7825529185375,100,25.1919385796545,15.8093797276853,37.8971255673222,10.590015128593,4.00907715582451,52.3032629558541
"41",39049002730,30827,0,0,399,1583,30139,321,575,69,75,645,286,285,192,28.9,789,1956,785,0,448,1150,1552,580,2398,127,556,357,41250,144,882,2391,11.0434782608696,23.185988323603,66.0133444537114,11.9266055045872,25.8992805755396,20.2779532533165,99.6503496503496,24.18682235196,12.3711340206186,41.5592783505155,4.44587628865979,4.83247422680412,36.8883312421581
"42",39049002740,80833,0,13,313,645,42138,221,673,568,547,195,58,58,41,37.7,1084,1955,1160,16,369,1093,1926,339,2697,51,1955,1462,88000,118,267,2680,4.66605672461116,72.4879495736003,23.9154616240267,2.1505376344086,6.03580562659847,34.2635658914729,100,12.5695216907675,2.12876427829699,10.1246105919003,29.4911734164071,28.4008307372793,9.96268656716418
"43",39049002750,29160,0,22,324,1458,26985,509,581,96,58,498,168,168,254,30.1,813,1959,784,17,392,1119,1314,858,2361,146,647,520,32788,217,611,2361,13.047363717605,27.4036425243541,61.7534942820839,7.1156289707751,33.5394126738794,34.9108367626886,100,36.3405336721728,19.3302891933029,37.8995433789954,7.30593607305936,4.41400304414003,25.8788648877594
"44",39049002760,44261,0,0,714,1186,36250,294,793,591,483,660,201,201,283,35.6,745,1954,843,0,914,1863,2819,630,3715,156,2143,1705,51723,252,917,3706,8.37359098228663,57.6850605652759,31.9246298788694,5.41049798115747,11.7592160522632,24.7892074198988,100,16.9582772543742,10.0390209294076,23.4125576445548,20.9648811635332,17.1337353671515,24.7436589314625
"45",39049002770,28056,0,0,415,1375,27639,372,525,144,86,592,354,341,222,37.3,772,1957,750,30,461,1062,1523,609,2322,76,582,423,31823,77,618,2322,7.15630885122411,25.0645994832041,59.2161929371232,15.2454780361757,13.2302405498282,27.0545454545455,96.3276836158192,26.2273901808786,14.5764937623112,38.8706500328299,9.45502298095863,5.6467498358503,26.6149870801034
"46",39049002780,59159,0,101,641,722,45250,75,519,509,410,360,27,27,106,61.2,810,1957,890,0,674,1246,2007,92,2204,53,1308,1170,60391,16,428,2037,4.25361155698234,59.3466424682396,32.7586206896552,1.22504537205082,1.22324159021407,10.387811634349,100,4.17422867513612,5.28151469855506,17.9372197309417,25.361235675137,20.428500249128,21.0112911143839
"47",39049002800,32940,52,0,378,1439,21250,839,408,199,86,443,31,31,197,37.2,769,0,791,19,536,1323,1434,908,2132,379,538,463,77969,21,638,2118,28.6470143613001,25.234521575985,67.4953095684803,1.45403377110694,3.90334572490706,58.3043780403058,100,42.5891181988743,13.7377963737796,30.8926080892608,13.8772663877266,5.99721059972106,30.1227573182247
"48",39049002900,14033,0,0,474,2402,13508,1646,545,23,18,525,189,189,397,21.8,615,1968,600,0,506,1455,1246,1786,2777,404,293,152,31250,70,968,2777,27.766323024055,10.5509542671948,86.4962189413036,6.805905653583,23.8907849829352,68.526228143214,100,64.3140079222182,31.8619582664526,42.1348314606742,1.84590690208668,1.4446227929374,34.8577601728484
"49",39049003000,72091,0,268,1518,740,NA,315,419,1310,776,232,220,208,172,30.5,1312,1997,1367,4,1965,2805,3067,697,4130,421,2851,2061,84273,310,1734,3637,15.0089126559715,69.0314769975787,17.9176755447942,5.32687651331719,10.8733777621887,42.5675675675676,94.5454545454545,16.8765133171913,5.60808607760026,7.56439517443756,42.7127486142811,25.3015976524291,47.6766565850976
"50",39049003200,85360,0,46,893,127,53438,0,377,1417,729,112,133,129,91,31,1355,1991,1416,15,1304,1841,2747,181,3039,160,2798,2543,86345,159,1394,2781,8.6909288430201,92.0697597894044,4.1790062520566,4.37643961829549,5.68263045032166,0,96.9924812030075,5.95590654820665,3.31270476883873,4.07717510010921,51.5835456862031,26.538041499818,50.1258540093492
"51",39049003600,43952,0,14,353,679,30486,141,270,162,236,309,4,4,99,40.5,449,0,868,4,420,912,1140,198,1433,222,540,445,93500,26,379,1426,24.3421052631579,37.6831821353803,47.3831123517097,0.279134682484299,4.81481481481481,20.7658321060383,100,13.8171667829728,8.68421052631579,27.1052631578947,14.2105263157895,20.7017543859649,26.577840112202
"52",39049003700,41647,0,22,666,1547,25766,739,565,622,460,586,193,193,245,39,734,0,864,0,964,2025,2714,972,3300,496,1427,1268,66759,89,771,3267,24.4938271604938,43.2424242424242,46.8787878787879,5.84848484848485,6.23686054660126,47.7698771816419,100,29.4545454545455,9.02726602800295,21.5917464996315,22.9182019159912,16.9491525423729,23.5996326905418
"53",39049003800,51512,0,7,486,675,8977,416,292,441,256,337,31,29,200,32.8,691,0,921,29,756,1315,1701,575,2355,267,1414,1070,78292,159,680,2262,20.3041825095057,60.0424628450106,28.6624203821656,1.31634819532909,11.2446958981612,61.6296296296296,93.5483870967742,24.416135881104,11.7577895355673,19.8118753674309,25.9259259259259,15.0499706055262,30.0618921308576
"54",39049004000,38432,0,142,2071,808,16111,414,261,1154,749,275,141,141,172,34,764,1973,859,0,2414,2920,3013,990,3472,245,2261,2044,48947,435,2379,3472,8.39041095890411,65.1209677419355,23.2718894009217,4.0610599078341,19.2392746572313,51.2376237623762,100,28.5138248847926,5.70859608363757,9.12711583139728,38.3006969797544,24.8589445735148,68.5195852534562
"55",39049004200,13512,0,0,171,198,10598,127,97,29,13,132,9,9,80,41.9,414,1968,417,0,182,375,332,198,428,96,221,205,25625,62,234,428,25.6,51.6355140186916,46.2616822429907,2.10280373831776,28.0542986425339,64.1414141414141,100,46.2616822429907,24.0963855421687,39.7590361445783,8.73493975903614,3.91566265060241,54.6728971962617
"56",39049004300,67893,0,218,847,398,32898,99,820,1718,717,763,244,244,434,30.4,1333,1991,1301,23,1756,3085,4269,1183,5429,509,4568,3616,67868,899,1966,5429,16.4991896272285,84.140725732179,7.33100018419599,4.49438202247191,19.6803852889667,24.8743718592965,100,21.7903849696077,10.1663152963223,17.8730381822441,40.2436167720778,16.7955024595924,36.2129305581138
"57",39049004500,35355,0,47,558,751,20125,464,1100,314,40,1210,162,162,1029,33.4,876,1940,865,9,697,2132,3481,2058,5329,335,4140,2983,37421,1493,1170,5173,15.7129455909944,77.688121598799,14.0927003190092,3.03996997560518,36.0628019323672,61.7842876165113,100,38.6188778382436,29.5604711289859,34.7601264004596,9.02039643780523,1.1490950876185,22.6174366905084
"58",39049004610,67132,0,0,433,111,NA,15,952,651,349,653,542,542,276,42.3,982,1942,1002,0,591,1644,2857,286,3740,101,3097,2533,70357,271,292,3714,6.14355231143552,82.807486631016,2.96791443850267,14.4919786096257,8.75040361640297,13.5135135135135,100,7.64705882352941,9.66048302415121,22.8561428071404,22.7861393069653,12.215610780539,7.86214324178783
"59",39049004620,29063,0,0,231,884,22708,652,600,122,29,714,187,187,473,29.1,811,1946,806,0,294,1089,1612,1454,2837,195,1739,1175,33698,690,623,2837,17.9063360881543,61.297144871343,31.1596757137822,6.59146986253084,39.6779758481886,73.7556561085973,100,51.2513218188227,29.3424317617866,44.2928039702233,7.5682382133995,1.79900744416873,21.9598167077899
