GEOID,totalpopulation_2000,popdensity_2000,proportion25to34_2000,aged25to34_2000
39049006945,5048,6644.238153,0.265253566,1339
39049006950,2686,1683.349498,0.056962025,153
39049006990,6755.565,2314.17755,0.171403206,1157.9255
39049007010,3743,3535.037812,0.106331819,398
39049007020,6695,3912.252945,0.120836445,809
39049007041,2081,1428.103393,0.235255022,489.5657
39049007043,3318,3302.153415,0.235255033,780.5762
39049007044,5130,6014.206189,0.23525501,1206.8582
39049007047,3449,3819.915515,0.257442041,887.9176
39049007048,5050,4581.876849,0.257442059,1300.0824
39049007112,3960,2592.075406,0.150757576,597
39049007113,4343.733,4274.00858,0.214269293,930.7286
39049007114,3974,2474.171378,0.215435128,856.1392
39049007115,5039,7337.493117,0.214102163,1078.8608
39049007120,4929,3797.947062,0.163116251,804
39049007132,6282,2771.47789,0.251034702,1577
39049007193,6489,3720.250413,0.0798274,518
39049007194,6699,3547.549367,0.10852366,727
39049007198,2728,4606.482444,0.224964956,613.7044
39049007199,5400.267,3976.444539,0.231408706,1249.6688
39049007201,683,186.2942208,0.132473631,90.47949
39049007202,3088,2102.017668,0.231412727,714.6025
39049007203,1396.748,216.1936756,0.132473603,185.03224
39049007205,217.5845,104.6119337,0.132473627,28.824208
39049007207,1190.16,405.7747728,0.132473659,157.66485
39049007209,791.9235,358.9828144,0.132473629,104.90898
39049007210,5103.584,556.2330648,0.132473611,676.0902
39049007393,6818,1789.957566,0.066877894,455.97348
39049007394,2019,297.2067858,0.066877905,135.02649
39049007395,5084,1591.88165,0.263150393,1337.8566
39049007396,1931,288.7120049,0.263150388,508.1434
39049007424,5065.425,3001.4619,0.1408284,713.3557
39049007425,2975.335,3089.537479,0.118292512,351.95985
39049007426,2979.393,2824.989692,0.11435972,340.72255
39049007427,6258,2248.819637,0.126717801,793
39049007492,6076.847,2543.882167,0.147603173,896.9619
39049007494,4553,4116.739612,0.163117461,742.6738
39049007511,1658,2506.370755,0.115802171,192
39049007512,3800.873,4983.113497,0.10891868,413.98607
39049007520,3338.963,3406.712165,0.135968868,453.99502
39049007531,2633,3552.103495,0.237371819,625
39049007532,2245,6934.855978,0.217371938,488
39049007533,1680,2053.882007,0.145238095,244
39049007534,3556,3996.955772,0.159730034,568
39049007550,2093.164,892.7681868,0.09938012,208.01889
39049007551,3372,3066.592064,0.130321886,439.4454
39049007710,4478,5698.16829,0.150513622,674
39049007721,6007,7235.054175,0.217745963,1308
39049007722,3363,4859.381113,0.14481118,487
39049007730,2843,5084.625413,0.150193458,427
39049007740,1675,2470.197435,0.069850746,117
39049007811,3523,4289.488833,0.177577945,625.6071
39049007812,4344,2698.979813,0.147559853,641
39049007820,4230,5410.57122,0.305910165,1294
39049007830,2649,6097.588217,0.357493394,947
39049007921,4831,1271.570234,0.153798385,743
39049007922,4325,1415.988856,0.164855491,713
39049007931,4156,2625.294292,0.202598653,842
39049007933,7554,3539.561942,0.207439767,1567
39049007941,2608,897.9653871,0.225076687,587
39049007951,7474,3502.149372,0.143831951,1075
39049007952,7531,2373.429498,0.117115921,882
39049007953,5991,3020.940755,0.290270573,1739.011
39049007954,5798,1877.262991,0.290270611,1682.989
39049008000,4492,201.3886319,0.178317008,801
39049008110,4498,5596.514442,0.137616719,619
39049008120,3760,4833.026403,0.142287234,535
39049008132,6570,6422.853966,0.222222222,1460
39049008141,4546,1402.419286,0.246590409,1121
39049008142,3824,1220.734312,0.31459205,1203
39049008161,5128,754.807846,0.224063963,1149
39049008162,7896,572.6909171,0.17781155,1404
39049008163,3027,8574.712214,0.22302742,675.104
39049008164,4425,8826.403744,0.223027345,986.896
39049008210,2195,761.5560676,0.139407745,306
39049008230,4293,9952.477673,0.232704403,999
39049008241,2331,1493.555509,0.168168168,392
39049008242,6008,2890.562207,0.213715047,1284
39049008311,3985,4143.801114,0.149058971,594
39049008312,4413,7516.122422,0.141627011,625
39049008321,2276,5343.487662,0.10940246,249
39049008322,4559,7044.632617,0.141917087,647
39049008330,1861,3055.617472,0.142396561,265
39049008340,5539,1752.048343,0.182162845,1009
39049008350,5465,3163.998741,0.178408051,975
39049008360,5929,3653.369235,0.162421994,963
39049008370,5589.221,2162.94626,0.194424608,1086.6821
39049008380,3724,965.0410492,0.215359828,802
39049008400,3166,3677.161954,0.117949147,373.427
39049008500,4296,3570.340736,0.218715014,939.5997
39049008710,2779,4569.837711,0.114429651,318
39049008720,3740,3403.568208,0.126470588,473
39049008730,2059,1143.642203,0.165128703,340
39049008811,1940.605,962.2192635,0.127757766,247.92736
39049008812,3085,945.5230213,0.106969206,330
39049008813,2396,3138.982396,0.11745106,281.41274
39049008821,2710,1740.989602,0.125461255,340
39049008822,3802,1928.218909,0.151499211,576
39049008825,6412.395,3782.494625,0.155738987,998.6599
39049008900,5070.012,8354.123465,0.112623323,571.0016
39049009000,3244,3189.996436,0.071516646,232
39049009100,4866,6027.825738,0.084258118,410
39049009210,4235,1735.920187,0.254781582,1079
39049009220,2556,3317.257848,0.121524057,310.61549
39049009230,4661,6564.868986,0.157806415,735.5357
39049009240,2003,6263.396651,0.120818772,242
39049009250,1956,4373.510502,0.127530368,249.4494
39049009311,2847.603,4429.706526,0.166189037,473.2404
39049009312,3350,5541.970923,0.182985075,613
39049009321,2063,5340.784617,0.13389795,276.23147
39049009322,3382,5829.020741,0.126064737,426.35094
39049009323,3683,8638.758527,0.177844149,655
39049009325,4092,2044.099137,0.209188661,856
39049009326,1795,6330.454022,0.224512535,403
39049009331,1441,6448.801114,0.183900069,265
39049009332,2844,3877.547988,0.085443038,243
39049009333,2232,7364.19113,0.112007168,250
39049009334,3090,5430.263708,0.1,309
39049009336,2555,3882.429929,0.270058708,690
39049009337,3971,3466.432337,0.181818182,722
39049009340,2863,4735.769731,0.182960915,523.8171
39049009350,2714.381,3961.076826,0.16444158,446.3571
39049009361,4182.173,1746.062314,0.149800905,626.4933
39049009362,6600.842,4103.228506,0.111638682,736.9093
39049009371,5316,3991.279087,0.199209932,1059
39049009372,4578,5327.835659,0.162079511,742
39049009373,3773,3109.960544,0.173601908,655
39049009374,6899,2749.101991,0.221191477,1526
39049009381,5769,4807.887665,0.158953025,917
39049009382,3028,4027.867542,0.16347424,495
39049009383,2328,4540.304101,0.163659794,381
39049009384,2593,4841.099065,0.138835326,360
39049009385,3410,3210.50639,0.127565982,435
39049009386,2980,2945.345968,0.182550336,544
39049009390,4259,1690.248411,0.120685607,514
39049009410,2990,6003.648458,0.166555184,498
39049009420,6211.826,4039.800708,0.152070116,944.6331
