"","GEOID","totalpopulation_2000","popdensity_2000","proportion25to34_2000","aged25to34_2000","pctwhite_2000","pctblack_2000","white_2000","black_2000","aian_2000","asian_2000","multipleraces_2000","households_2000","familyhouseholds_2000","nonfamilyhouseholds_2000","hhlivingalone_2000","numberofhousingunits_2000","vacancyrate_2000","vacantunits_2000","pctpoverty_2000","poverty_2000","over25population_2000","lessthanhs_2000","hsgrad_2000","fouryeardegree_2000","graddegree_2000","pctgraddegree_2000","occupiedunits_2000","renters_2000","pctrenters_2000","medianincome_2000","latino_2000","pctlatino_2000","whitemedianhhincome_2000","blackmedianhhincome_2000","White.Alone.Population.for.Whom.Poverty.Status.is.Determined","whitepoverty_2000","Black.or.African.American.Alone.Population.for.Whom.Poverty.Status.is.Determined","blackpoverty_2000","whitepctpoverty_2000","blackpctpoverty_2000"
"15",39049000810,2812,7324.694469,0.156116643,439,69.91465149,21.19487909,1966,596,12,135,103,1093,730,363,290,1159,5.69456428,66,10.59743954,298,1824,497,671,149,59,3.234649123,1093,256,23.42177493,37599.72477,54,1.920341394,56719.17663,67942.10637,1952,163,558,98,8.350409836,"17.56272401"
"16",39049000820,3481,6229.83899,0.152829647,532,57.45475438,37.0295892,2000,1289,6,22,162,1396,841,555,433,1559,10.45542014,163,15.31169204,533,2141,651,658,136,90,4.203643157,1396,550,39.3982808,37992.01711,44,1.264004596,59563.58165,48027.652,2010,296,1228,232,14.72636816,"18.89250814"
"17",39049000910,4077,8233.268625,0.138091734,563,27.71645818,67.40250184,1130,2748,24,28,146,1430,1051,379,298,1583,9.665192672,153,21.31469218,869,2327,680,1030,76,40,1.71895144,1430,510,35.66433566,36279.61165,49,1.201864116,47708.08359,51579.50899,1118,193,2781,676,17.26296959,"24.30780295"
"18",39049000920,2577,7289.700856,0.13193636,340,26.77532014,68.68451688,690,1770,20,7,90,912,631,281,224,1064,14.28571429,152,33.72138145,869,1446,515,467,78,43,2.973720609,912,424,46.49122807,29683.76906,48,1.862630966,42316.4835,39874.01866,682,173,1791,684,25.36656891,"38.19095477"
"19",39049001000,5404,15659.1041,0.208734271,1128,88.76757957,4.311621021,4797,233,24,166,183,2410,571,1839,809,2576,6.444099379,166,34.99259808,1891,2238,281,268,661,226,10.09830206,2410,1868,77.51037344,30703.67126,115,2.128053294,44374.97518,21474.00145,4886,1712,207,80,35.03888661,"38.647343"
"20",39049001110,3362,16285.72914,0.159726353,537,78.31647829,3.152885187,2633,106,2,524,94,1694,173,1521,752,1760,3.75,66,59.63712076,2005,833,67,69,292,178,21.36854742,1694,1633,96.39905549,20794.17647,60,1.784651993,25508.98544,17198.30044,2550,1465,71,57,57.45098039,"80.28169014"
"21",39049001121,7931.477,22789.62391,0.079758842,632.60542,74.45146724,10.30836123,5905.101,817.6053,7.055079,813.6858,351.1862,566.758012,281.4192618,285.3387502,202.2455976,594.9783279,4.743082996,28.2203159,3.884166624,308.0717824,1020.63476,49.38555291,69.76689221,305.7200895,500.1267105,49.00153611,566.758012,455.4445435,80.35961272,32969.15629,181.0804,2.283060267,48706.44104,26461.56991,558.9190353,166.9702027,145.8049657,54.87283657,29.87377279,"37.6344086"
"22",39049001122,2186.523,945.2481003,0.079758859,174.39458,74.45149216,10.30836172,1627.899,225.3947,1.944921,224.3142,96.81384,156.241988,77.58073817,78.66124984,55.75440236,164.0216721,4.743083033,7.7796841,3.884167583,84.92821755,281.3652398,13.61444709,19.23310779,84.27991055,137.8732895,49.00153609,156.241988,125.5554565,80.35961272,32969.15629,49.91964,2.283060366,48706.44104,26459.80581,154.0809647,46.0297973,40.19503426,15.12716343,29.87377279,"37.6344086"
"23",39049001200,4372,16870.49784,0.115736505,506,84.69807868,5.192131747,3703,227,20,292,129,1751,217,1534,605,1922,8.89698231,171,55.55809698,2429,895,94,62,222,136,15.19553073,1751,1647,94.06053684,23782.23235,114,2.607502287,31253.14365,45278.12027,3589,2139,208,76,59.59877403,"36.53846154"
"24",39049001300,5672,21476.33128,0.112306065,637,80.97672779,10.59590973,4593,601,11,277,184,2281,274,2007,906,2532,9.913112164,251,54.848378,3111,1084,153,219,232,116,10.70110701,2281,2201,96.49276633,20560.48246,127,2.239069111,30306.52379,19690.75425,4284,2504,559,315,58.45004669,"56.35062612"
