GEOID,whitemedianhhincome_2000,blackmedianhhincome_2000,White Alone Population for Whom Poverty Status is Determined,whitepoverty_2000,Black or African American Alone Population for Whom Poverty Status is Determined,blackpoverty_2000,whitepctpoverty_2000,blackpctpoverty_2000
39049005420,47128.89759,37649.68543,155.7159921,39.92717745,2298.807242,875.4033656,25.64102564,38.08076422
39049005500,46332.80151,43534.96303,347,54,4577,1338,15.56195965,29.23312213
39049005610,46698.40637,41566.46402,851,279,1383,525,32.78495887,37.96095445
39049005620,51276.92709,52790.45303,2041,517,817,174,25.33072024,21.29742962
39049005700,80937.77621,63293.49822,2933,172,96,6,5.864302762,6.25
39049005810,75062.14089,39721.06436,2591,309,106,49,11.92589734,46.22641509
39049005820,52309.2181,16169.34229,2442,546,98,49,22.35872236,50
39049005900,59737.41398,60576.72188,887,86,2098,513,9.695603157,24.45185891
39049006000,44344.17132,24424.76279,1522,317,1045,564,20.82785808,53.97129187
39049006100,36354.24337,44100.85241,2566,897,410,98,34.95713172,23.90243902
39049006220,115200.376,56263.41062,5118,152,29,0,2.969910121,0
39049006230,104688.6499,102538.6758,4385,151,113,13,3.443557583,11.50442478
39049006236,206708.5973,197187.2649,5298.266424,126.3153613,73.27686703,0,2.384088514,0
39049006310,139849.0103,1.764104661,4119,38,30,0,0.922554018,0
39049006321,139705.4016,89550.23155,3721.934088,53.53917939,79.19925152,0,1.438477365,0
39049006323,113739.208,242563.5088,3039,21,6,0,0.691016782,0
39049006330,103459.4343,97024.87428,4525,161,12,0,3.55801105,0
39049006340,151222.5049,154358.2758,2778,45,17,0,1.61987041,0
39049006351,91891.98682,98575.55719,3560,153,90,0,4.297752809,0
39049006352,52880.34591,61967.50498,2121,455,153,36,21.45214521,23.52941176
39049006353,68655.24797,61328.03127,3646.262597,250.7960271,98.18653101,13,6.878166903,13.2401052
39049006371,97461.64695,66955.21223,5485,161,234,0,2.935278031,0
39049006372,88873.42391,132809.2673,4104,265,174,11,6.45711501,6.32183908
39049006383,100407.722,75595.53582,6488,374,289,8,5.764488286,2.76816609
39049006384,101389.1758,93487.55568,5714,91,227,0,1.592579629,0
39049006386,94537.69346,113177.4152,2761,56,155,0,2.028250634,0
39049006387,100207.1816,69109.9548,4682,185,149,0,3.951302862,0
