GEOID,pctwhite_2000,pctblack_2000,white_2000,black_2000,aian_2000,asian_2000,multipleraces_2000,households_2000,familyhouseholds_2000,nonfamilyhouseholds_2000,hhlivingalone_2000,numberofhousingunits_2000,vacancyrate_2000,vacantunits_2000,pctpoverty_2000,poverty_2000
39049008322,86.22504935,7.962272428,3931,363,13,97,155,2086,1174,912,781,2217,5.908885882,131,10.98925203,501
39049008330,94.57281032,1.880709296,1760,35,12,13,41,764,506,258,233,816,6.37254902,52,8.704997313,162
39049008340,79.16591442,15.29156888,4385,847,17,164,125,1870,1289,581,440,1967,4.931367565,97,12.89041343,714
39049008350,72.82708143,20.87831656,3980,1141,33,81,226,2199,1380,819,628,2531,13.11734492,332,25.43458371,1390
39049008360,90.09951088,5.801990218,5342,344,21,101,118,1938,1564,374,294,2015,3.82133995,77,6.40917524,380
39049008370,93.87063063,2.751966687,5246.637,153.8135,4.993943,86.89461,94.88492,2005.56762,1577.087287,428.4803333,313.6196379,2124.423471,5.594734413,118.855851,2.448177408,136.8340458
39049008380,90.97744361,4.940923738,3388,184,10,57,83,1326,995,331,248,1384,4.190751445,58,4.269602578,159
39049008400,97.40543272,0.608910613,3083.856,19.27811,0.02173441,33.27593,29.565924,1443.151163,777.6336547,665.5175087,558.7119973,1485.927049,2.878733921,42.775886,2.33833377,74.03164717
39049008500,94.67204376,1.970002328,4067.111,84.6313,3.846877,52.89456,87.51645,1956.137005,1070.393553,885.743452,685.7058428,2016.725319,3.00429183,60.588314,6.380120886,274.0899933
39049008710,16.69665347,77.40194315,464,2151,7,76,80,1126,714,412,334,1232,8.603896104,106,9.643756747,268
39049008720,48.04812834,42.72727273,1797,1598,12,187,143,1641,900,741,640,1790,8.324022346,149,21.09625668,789
39049008730,28.07187955,65.66294318,578,1352,14,13,99,730,359,371,313,1161,37.12316968,431,16.41573579,338
39049008811,83.29593091,14.00236009,1616.445,271.7305,5.033792,4.101086,41.289471,744.9010172,549.8420945,195.0589226,162.919282,805.1352365,7.481254896,60.2342193,22.2254494,431.3081824
39049008812,27.39059968,68.00648298,845,2098,24,22,96,1166,870,296,231,1230,5.203252033,64,13.71150729,423
39049008813,12.28654841,84.50646912,294.3857,2024.775,3.99167,7.98334,64.86464,919.0820491,684.5714286,234.5106206,221.5376926,988.9362766,7.063572159,69.8542275,15.57684298,373.2211578
39049008821,97.60147601,0.664206642,2645,18,5,12,30,1113,771,342,333,1178,5.517826825,65,10.03690037,272
39049008822,74.1188848,21.75170963,2818,827,15,35,106,1573,1017,556,425,1727,8.917197452,154,15.46554445,588
39049008825,90.99829315,5.871360077,5835.17,376.4948,18.97454,62.91557,114.84589,2223.016934,1798.586477,424.4304568,340.5430253,2288.928487,2.879581139,65.911553,6.151689966,394.4706598
39049008900,90.07870198,6.075151301,4567.001,308.0109,13.00001,69.00003,112.0003,1661.004321,1085.002858,576.0014627,449.0016524,1774.005661,6.369841004,113.00134,6.252520215,317.0035252
39049009000,95.03699137,2.18865598,3083,71,1,31,54,1265,916,349,312,1382,8.465991317,117,4.284833539,139
39049009100,93.52651048,4.048499794,4551,197,8,31,78,1769,1381,388,350,1808,2.157079646,39,2.1783806,106
39049009210,57.96930342,31.35773318,2455,1328,18,243,187,2165,872,1293,1136,2455,11.81262729,290,19.05548996,807
39049009220,87.13712833,7.771177621,2227.225,198.6313,5.1033,30.30416,93.73601,1097.918221,660.0114778,437.9067432,320.1061693,1205.292683,8.908579925,107.374462,13.10394649,334.9368723
39049009230,76.24012015,16.43704355,3553.552,766.1306,19.0153,116.1932,204.10902,1978.765662,1220.038737,758.7269249,648.6083214,2130.821138,7.136003735,152.055476,15.1960297,708.2869441
39049009240,94.45831253,1.647528707,1892,33,10,29,37,817,563,254,242,835,2.155688623,18,9.086370444,182
39049009250,85.98179959,9.109309816,1681.804,178.1781,1.979757,42.56478,51.47368,805.7611336,539.4838057,266.2773279,209.854251,853.2753036,5.568445471,47.51417,7.439271255,145.5121458
39049009311,62.61922747,31.05646398,1783.147,884.3648,12.00192,65.05031,103.03917,1264.794155,727.4512243,537.3429304,453.2811031,1327.844845,4.748347688,63.05069,4.393621655,125.1129021
39049009312,54.23880597,38.68656716,1817,1296,8,44,184,1449,844,605,456,1535,5.602605863,86,12.02985075,403
39049009321,63.82947164,28.23613185,1316.802,582.5114,7.884433,99.56791,56.2339,910.5519467,535.7772139,374.7747327,313.6073717,939.1948833,3.049733033,28.6429366,7.173987483,147.9993618
39049009322,59.2651094,33.73007096,2004.346,1140.751,7.022444,106.3884,123.49206,1384.441933,938.9328294,445.5091037,384.9845012,1421.880028,2.632999568,37.438095,7.849197447,265.4598577
39049009323,32.79934836,61.30871572,1208,2258,8,35,168,1478,919,559,441,1569,5.79987253,91,13.52158566,498
39049009325,36.75464321,55.32746823,1504,2264,15,66,240,2155,827,1328,1125,2334,7.669237361,179,16.05571848,657
39049009326,47.40947075,44.62395543,851,801,22,26,94,957,381,576,473,984,2.743902439,27,17.66016713,317
39049009331,19.56974323,69.3962526,282,1000,7,14,134,687,325,362,255,826,16.82808717,139,20.95766829,302
39049009332,17.47538678,78.23488045,497,2225,9,19,94,1183,831,352,334,1215,2.633744856,32,4.676511955,133
39049009333,25.80645161,64.24731183,576,1434,3,116,101,977,543,434,436,1002,2.49500998,25,14.4265233,322
39049009334,20.71197411,73.13915858,640,2260,5,86,98,1200,865,335,240,1299,7.621247113,99,11.48867314,355
39049009336,52.95499022,40.2739726,1353,1029,13,80,80,1431,461,970,746,1550,7.677419355,119,11.23287671,287
39049009337,25.23293881,66.93528079,1002,2658,13,98,200,1532,987,545,378,1645,6.869300912,113,17.98035759,714
39049009340,72.93995809,20.21647922,2088.271,578.7978,14.99476,52.98149,127.95531,1256.561103,698.7559358,557.8051676,459.8393855,1328.535964,5.417607272,71.974861,19.51815642,558.8048184
39049009350,59.85537771,32.58723812,1624.703,884.5418,7.002852,70.07471,127.05817,1241.179469,685.6701529,555.5093162,447.417491,1328.254754,6.555616288,87.075285,10.87421702,295.1676808
39049009361,71.56057389,22.7188091,2992.787,950.1399,5.024862,131.0976,102.11657,2070.36733,1177.216794,893.1505359,732.135795,2202.295314,5.990476534,131.927984,7.026884542,293.8764681
39049009362,82.41922773,12.93703894,5440.363,853.9535,14.97037,151.7773,135.78608,2754.659046,1943.661829,810.9972174,670.1656109,2833.605086,2.786063605,78.94604,2.906340572,191.8429491
39049009371,59.78179082,32.95711061,3178,1752,16,111,258,2587,1177,1410,1106,2923,11.49503934,336,11.09857035,590
39049009372,58.36609873,35.27741372,2672,1615,17,73,200,1665,1258,407,332,1694,1.711924439,29,3.145478375,144
39049009373,65.96872515,28.43890803,2489,1073,14,72,122,1348.000046,1020.00003,328.0000156,259.0000119,1420.000048,5.070422505,72.000002,9.912536606,374.0000061
39049009374,70.57544572,22.74242644,4869,1569,19,172,258,2667.999954,1752.99997,914.9999844,695.9999881,2785.999952,4.235463031,117.999998,5.131178343,353.9999939
39049009381,76.98041255,16.69266771,4441,963,16,138,207,2401,1557,844,683,2596,7.51155624,195,11.45779164,661
39049009382,92.8665786,3.764861295,2812,114,3,27,70,1322,835,487,395,1376,3.924418605,54,2.542932629,77
39049009383,88.9604811,7.774914089,2071,181,9,22,44,1073,608,465,404,1125,4.622222222,52,8.934707904,208
39049009384,88.66178172,7.057462399,2299,183,7,29,75,1192,712,480,417,1248,4.487179487,56,3.740840725,97
39049009385,89.76539589,6.392961877,3061,218,11,76,43,1426,925,501,410,1483,3.843560351,57,3.48973607,119
39049009386,72.2147651,20.80536913,2152,620,17,38,149,1210,719,491,361,1305,7.279693487,95,12.71812081,379
39049009390,90.0680911,6.715191359,3836,286,9,49,79,1622,1239,383,312,1687,3.85299348,65,4.273303592,182
39049009410,79.56521739,15.38461538,2379,460,14,42,89,1061,810,251,193,1107,4.155374887,46,6.153846154,184
39049009420,84.30434143,10.49229808,5236.839,651.7633,20.01019,69.09711,233.11478,2230.443146,1643.051139,587.3920072,400.3204684,2397.501425,6.968015838,167.058279,6.025919931,374.319661
39049009430,74.64490972,19.53933922,3886.014,1017.218,13.98925,128.901,157.87866,1959.494434,1427.902879,531.5915547,431.6683301,2041.431478,4.013705328,81.937044,8.253358925,429.6698657
39049009440,96.04790419,0.928143713,3208,31,24,21,56,1355,940,415,346,1423,4.778636683,68,5.928143713,198
39049009450,92.05584084,5.100810909,5341.994,295.9997,23.99997,39.99995,100.999882,2094.997601,1618.998146,475.9994548,391.9995511,2229.997446,6.053811642,134.999845,4.204721952,243.9997206
39049009495,79.76635537,15.05006881,3245.693,612.3873,19.57402,45.14009,143.80913,1678.971824,1046.611035,632.3607893,478.9643629,1865.124779,9.980723922,186.152955,7.942273708,323.1711172
39049009497,96.67629041,1.107899603,1704.403,19.53227,9.341522,9.341522,20.3815,670.0419075,532.466763,137.5751445,137.5751445,684.4788054,2.109181144,14.4368979,7.369942197,129.9320809
39049009520,92.32773596,4.198031268,3189,145,18,14,87,1297,979,318,235,1352,4.068047337,55,7.180081065,248
39049009590,97.62014787,0.415896488,4225,18,15,26,40,1724,1271,453,390,1791,3.740926857,67,4.066543438,176
39049009600,82.54225515,12.38712665,3565,535,13,130,76,1762,1162,600,512,1884,6.475583864,122,12.27135911,530
39049009711,96.41014617,1.203783319,4485,56,8,18,85,1742,1252,490,389,1819,4.233095107,77,4.922613929,229
39049009712,97.89883268,0.583657588,2516,15,3,6,30,1119,745,374,328,1152,2.864583333,33,5.097276265,131
39049009720,95.83965911,1.878342392,6183.363,121.1865,16.00606,39.10539,89.11508,2695.43238,1758.912713,936.5196667,812.3803621,2838.576529,5.042814507,143.144149,5.380933757,347.1659542
39049009740,97.17256244,0.98896919,7664,78,8,56,81,2725,2362,363,296,2800,2.678571429,75,1.74971472,138
39049009751,96.15655853,1.904090268,2727,54,15,12,28,965,815,150,123,989,2.42669363,24,3.349788434,95
39049009752,93.67088608,2.705385952,3774,109,4,47,94,1336,1154,182,144,1450,7.862068966,114,2.854306279,115
39049009800,97.99455665,0.42973786,6841,30,18,28,64,2539,2089,450,363,2629,3.423354888,90,4.841713222,338
39049009900,78.92307692,12.30769231,1026,160,2,62,49,807,165,642,432,909,11.22112211,102,16.69230769,217
39049010000,89.58699422,5.733265896,4649.565,297.5565,9.556522,139.3565,93.96522,2305.504348,1339.304348,966.2,774.1043478,2414.434783,4.511632941,108.930435,5.19008126,269.3652174
39049010100,6.080385892,87.38466805,29.30746,421.1941,1.254448,0.7920104,27.582846,177.5008053,132.879588,44.62121731,41.10972776,203.1815642,12.63931548,25.6807589,33.75341612,162.6914657
39049010200,79.86815465,14.96610759,4915.23,921.0412,29.62261,68.05793,216.62524,2538.155134,1584.611657,953.5434772,722.9345708,2818.309997,9.940526887,280.154863,7.938775177,488.5665142
39049010300,82.03341567,13.65764996,2324.827,387.0578,15.46243,20.46243,86.19075,904.8959538,679.3583815,225.5375723,155.5375723,1007.156069,10.15335342,102.2601152,12.67964151,359.3410405
39049010400,89.54587328,1.616793006,4762.945,85.99722,5.538654,405.4744,59.044887,1816.143377,1438.974069,377.169308,321.8361082,1938.478292,6.310873612,122.334915,2.284218598,121.4975872
39049010500,89.09642122,1.626837024,6921.01,126.3727,8.669846,620.5841,91.36349,2678.986071,2090.445482,588.5405888,502.1845354,2870.144537,6.66023831,191.158466,2.264771214,175.9274279
39049010601,90.61684611,1.706019937,1843.771,34.7122,4.276141,96.84202,55.08676,746.8154727,534.2661044,212.5493683,164.7572026,795.1107137,6.074027197,48.295241,2.966991581,60.36905134
39049010602,90.61690092,1.706020718,5486.229,103.2878,12.72386,288.158,163.91321,2222.184527,1589.733896,632.4506317,490.2427974,2365.889286,6.07402721,143.704759,2.966992423,179.6309487
39049010700,83.00455235,6.373292868,1094,84,5,97,38,818,243,575,455,883,7.361268403,65,17.52655539,231
39049980000,93.58973879,6.41025653,0.7993844,0.05475236,0,0,0,0.339464607,0.186158011,0.153306597,0.229959895,0.339464607,0,0,75.64102156,0.646077801
