GEOID,pctwhite_2000,pctblack_2000,white_2000,black_2000,aian_2000,asian_2000,multipleraces_2000,households_2000,familyhouseholds_2000,nonfamilyhouseholds_2000,hhlivingalone_2000,numberofhousingunits_2000,vacancyrate_2000,vacantunits_2000,pctpoverty_2000,poverty_2000
39049002750,42.59327669,49.50129294,1153,1340,13,43,158,1082,709,373,350,1169,7.44225834,87,23.90099741,647
39049002760,66.20837152,28.53651085,2167,934,13,37,121,1677,779,898,698,1790,6.312849162,113,13.35166514,437
39049002770,44.66441333,49.29985514,925,1021,11,29,84,946,513,433,388,1024,7.6171875,78,11.63689039,241
39049002780,63.67363674,32.92332923,1553,803,2,26,55,1078,623,455,411,1113,3.144654088,35,4.26404264,104
39049002800,6.358208955,87.31343284,213,2925,9,7,195,1449,743,706,606,1785,18.82352941,336,35.10447761,1176
39049002900,3.933536792,89.69142082,116,2645,21,44,114,1198,596,602,581,1367,12.36283833,169,54.12004069,1596
39049003000,43.96512162,51.81275815,958,1129,7,24,60,897,218,679,522,1003,10.56829511,106,36.1633777,788
39049003200,79.98903509,11.95175439,1459,218,2,61,83,950,152,798,532,995,4.522613065,45,16.61184211,303
39049003600,9.55967555,85.05214368,165,1468,4,6,83,857,322,535,510,1127,23.95740905,270,40.67207416,702
39049003700,16.42977596,78.46302096,682,3257,24,18,168,1758,860,898,807,2142,17.92717087,384,33.36545411,1385
39049003800,33.06258958,63.06736742,692,1320,4,19,57,1079,346,733,622,1313,17.82178218,234,25.46583851,533
39049004000,69.70387244,23.09794989,1530,507,7,64,87,1731,127,1604,1352,1895,8.654353562,164,27.60820046,606
39049004200,42.45810056,50.55865922,608,724,8,16,75,561,244,317,280,742,24.393531,181,56.63407821,811
39049004300,81.95790967,9.411208323,3466,398,25,192,148,2046,787,1259,890,2530,19.13043478,484,23.93000709,1012
39049004500,85.40223761,9.234594211,4809,520,32,65,204,1948,1265,683,517,2125,8.329411765,177,15.45018647,870
39049004610,93.42365227,4.205475586,3310,149,5,19,59,1558,945,613,493,1626,4.18204182,68,4.205475586,149
