GEOID,occupiedunits_2000,renterunits_2000,pctrenters_2000
39049007427,2178,543,24.93112948
39049007492,2276.967797,711.9771344,31.2686519
39049007494,1544.321625,246.8915477,15.98705502
39049007511,630,218,34.6031746
39049007512,1382.953639,262.9911838,19.01663051
39049007520,1130.987533,457.9949515,40.49513705
39049007531,1166,781,66.98113208
39049007532,899,749,83.31479422
39049007533,652,296,45.39877301
39049007534,1244,697,56.02893891
39049007550,657.0588276,172.0138648,26.17937048
39049007551,1242.17757,716.9439252,57.7167019
39049007710,1848,818,44.26406926
39049007721,2548,1845,72.40973312
39049007722,1561,618,39.59000641
39049007730,1293,423,32.71461717
39049007740,894,133,14.87695749
39049007811,1796.64091,482.0738972,26.83195592
39049007812,1933,1135,58.71702018
39049007820,2129,2065,96.99389385
39049007830,1734,1401,80.79584775
39049007921,1644,410,24.93917275
39049007922,1502,535,35.61917443
39049007931,1543,241,15.61892417
39049007933,2739,242,8.835341365
39049007941,1087,406,37.35050598
39049007951,2536,386,15.22082019
39049007952,3059,702,22.94867604
39049007953,2530.256086,1082.943507,42.79975899
39049007954,2448.743914,1048.056493,42.79975899
39049008000,1487,70,4.707464694
39049008110,1972,870,44.11764706
39049008120,1502,545,36.2849534
39049008132,2581,1029,39.86826811
39049008141,1803,493,27.34331669
39049008142,1582,598,37.80025284
39049008161,2112,944,44.6969697
39049008162,2976,961,32.29166667
39049008163,1240.127617,719.7858293,58.04127088
39049008164,1812.872383,1052.214171,58.04127088
39049008210,1037,460,44.3587271
39049008230,1434,1431,99.79079498
39049008241,1094,542,49.54296161
39049008242,2462,742,30.13809911
39049008311,1739,936,53.8240368
39049008312,1818,999,54.95049505
39049008321,1007,193,19.16583913
39049008322,2086,779,37.34419942
39049008330,764,199,26.04712042
39049008340,1870,665,35.56149733
39049008350,2199,1428,64.93860846
39049008360,1938,233,12.02270382
39049008370,2005.56762,182.778324,9.113545817
39049008380,1326,391,29.48717949
39049008400,1443.151163,437.4055644,30.30906086
39049008500,1956.137005,1040.580255,53.19567355
39049008710,1126,398,35.34635879
39049008720,1641,646,39.3662401
39049008730,730,504,69.04109589
39049008811,744.9010172,169.6502009,22.77486498
39049008812,1166,189,16.20926244
39049008813,919.0820491,160.664723,17.48099891
39049008821,1113,234,21.02425876
39049008822,1573,624,39.66942149
39049008825,2223.016934,234.6850761,10.55705301
39049008900,1661.004321,524.00265,31.54733817
39049009000,1265,294,23.24110672
39049009100,1769,234,13.22781232
39049009210,2165,2059,95.1039261
39049009220,1097.918221,404.3945481,36.83284787
39049009230,1978.765662,1211.2066,61.21020911
39049009240,817,154,18.8494492
39049009250,805.7611336,185.1072874,22.97297297
39049009311,1264.794155,460.3878608,36.40022047
39049009312,1449,867,59.83436853
39049009321,910.5519467,106.6827591,11.71627379
39049009322,1384.441933,248.8755654,17.97659833
39049009323,1478,1024,69.28281461
39049009325,2155,1834,85.10440835
39049009326,957,952,99.47753396
39049009331,687,573,83.40611354
39049009332,1183,186,15.7227388
39049009333,977,389,39.81576254
39049009334,1200,259,21.58333333
39049009336,1431,1244,86.93221523
39049009337,1532,886,57.83289817
39049009340,1256.561103,763.7332402,60.77963405
39049009350,1241.179469,796.5760463,64.17895769
39049009361,2070.36733,1009.12391,48.741298
39049009362,2754.659046,462.9121827,16.80469978
39049009371,2587,1882,72.74835717
39049009372,1665,224,13.45345345
39049009373,1348.000046,303.0000204,22.47774556
39049009374,2667.999954,1196.99998,44.86506747
39049009381,2401,1310,54.56059975
39049009382,1322,471,35.62783661
39049009383,1073,480,44.73438956
39049009384,1192,534,44.79865772
39049009385,1426,512,35.90462833
39049009386,1210,870,71.90082645
39049009390,1622,231,14.24167694
39049009410,1061,237,22.33741753
39049009420,2230.443146,657.4207571,29.47489418
39049009430,1959.494434,571.5608445,29.16879143
39049009440,1355,466,34.39114391
39049009450,2094.997601,420.9995178,20.09546539
39049009495,1678.971824,750.6038681,44.70616227
39049009497,670.0419075,89.16907514,13.30798479
39049009520,1297,306,23.59290671
39049009590,1724,206,11.94895592
39049009600,1762,755,42.84903519
39049009711,1742,670,38.46153846
39049009712,1119,298,26.63092046
