"","GEOID","medianhhincome_2010","aian_2010","asian_2010","hhlivingalone_2010","black_2010","blackmedianincome_2010","blackpoverty_2010","familyhouseholds_2010","fouryeardegree_2010","graddegree_2010","hsgrad_2010","latino_2010","latinopoverty_2010","lessthanhs_2010","medianage_2010","grossrent_2010","monthlyhousingcost_2010","multipleraces_2010","nonfamilyhouseholds_2010","numberofhousingunits_2010","over25population_2010","poverty_2010","totalpopulation_2010","vacantunits_2010","white_2010","white25andolder_2010","whitemedianincome_2010","whitepoverty_2010","renters_2010","occupiedunits_2010","vacancyrate_2010","pctwhite_2010","pctblack_2010","pctlatino_2010","pctwhitepoverty_2010","pctblackpoverty_2010","pctlatinopoverty_2010","pctpoverty_2010","pctlessthanhs_2010","pcthsgrad_2010","pctfouryeardegree_2010","pctgraddegree_2010","pctrenters_2010","X","totalpopulation_2000","popdensity_2000","proportion25to34_2000","aged25to34_2000","pctwhite_2000","pctblack_2000","white_2000","black_2000","aian_2000","asian_2000","multipleraces_2000","households_2000","familyhouseholds_2000","nonfamilyhouseholds_2000","hhlivingalone_2000","numberofhousingunits_2000","vacancyrate_2000","vacantunits_2000","pctpoverty_2000","poverty_2000","over25population_2000","lessthanhs_2000","hsgrad_2000","fouryeardegree_2000","graddegree_2000","pctgraddegree_2000","occupiedunits_2000","renters_2000","pctrenters_2000","medianincome_2000","latino_2000","pctlatino_2000","whitemedianhhincome_2000","blackmedianhhincome_2000","White.Alone.Population.for.Whom.Poverty.Status.is.Determined","whitepoverty_2000","Black.or.African.American.Alone.Population.for.Whom.Poverty.Status.is.Determined","blackpoverty_2000","whitepctpoverty_2000","blackpctpoverty_2000"
"11",39049000600,41433,0,204,726,253,20428,81,581,775,595,328,75,75,99,29.1,695,767,10,1159,2027,2266,826,3625,287,2951,1917,42348,681,1323,3625,14.158855451406,81.4068965517241,6.97931034482759,2.06896551724138,23.0769230769231,32.0158102766798,100,22.7862068965517,4.36893203883495,14.4748455428067,34.2012356575463,26.2577228596646,36.4965517241379,11,3747.691,9908.802557,0.305999694,1146.7923,86.0223535,5.025427657,3223.852,188.3375,16.16931,135.6729,182.65921,1841.317987,600.2569433,1241.061044,807.5278387,2044.79098,9.950796682,203.472993,19.67650717,737.4146882,2488.256462,273.4041966,319.6729455,749.4558219,352.8188847,14.17936174,1841.317987,1324.740428,71.94522825,37569.86954,102.2868,2.729328539,58843.87005,52449.89319,3311.224505,597.0951463,203.0158577,73,18.03245734,"35.95778222"
"12",39049000710,24410,0,69,521,872,23077,388,602,128,23,747,222,222,420,31.7,816,794,0,669,1508,1741,990,2844,237,1818,1215,25101,560,595,2844,15.7161803713528,63.9240506329114,30.6610407876231,7.80590717299578,30.8030803080308,44.4954128440367,100,34.8101265822785,24.1240666283745,42.9063756461804,7.35209649626651,1.32107983917289,20.9212376933896,12,3377,6677.729151,0.153094463,517,72.2830915,22.29789754,2441,753,24,37,118,1382,856,526,417,1497,7.682030728,115,19.39591353,655,2170,725,924,138,22,1.013824885,1382,443,32.05499276,31945.06531,73,2.161681966,47645.50517,54673.33975,2417,478,826,167,19.77658254,"20.21791768"
"13",39049000720,22881,0,0,285,2089,24263,1015,641,96,58,626,85,85,501,30.1,682,693,0,364,1215,1725,1427,3035,210,857,640,18826,382,533,3035,17.2839506172839,28.2372322899506,68.830313014827,2.8006589785832,44.5740956826138,48.5878410722834,100,47.0181219110379,29.0434782608696,36.2898550724638,5.56521739130435,3.36231884057971,17.5617792421746,13,2751,3258.466337,0.129407488,356,22.46455834,72.7735369,618,2002,13,18,99,1080,711,369,317,1160,6.896551724,80,27.15376227,747,1643,548,630,43,15,0.91296409,1080,432,40,34422.69373,75,2.726281352,34862.44696,46948.4551,661,224,1946,492,33.88804841,"25.28263104"
"14",39049000730,19973,0,39,290,2807,20362,1375,711,136,69,705,56,56,447,28.8,720,648,0,375,1780,1625,1399,2887,694,41,21,13558,24,522,2887,38.9887640449438,1.42015933494977,97.22895739522,1.93972982334603,58.5365853658537,48.9846811542572,100,48.4586075510911,27.5076923076923,43.3846153846154,8.36923076923077,4.24615384615385,18.0810529961898,14,3909,9707.65891,0.114863136,449,3.453568688,92.81146073,135,3628,15,9,122,1473,995,478,399,1721,14.41022661,248,29.7262727,1162,2209,816,782,88,29,1.312811227,1473,734,49.83027834,37928.34699,48,1.227935533,56720.92897,41953.54692,111,33,3733,1123,29.72972973,"30.08304313"
"15",39049000810,31463,0,54,402,891,19647,463,520,169,31,732,13,13,386,40.4,775,757,0,499,1134,1649,802,2382,115,1348,1018,38542,332,313,2382,10.1410934744268,56.5910999160369,37.4055415617128,0.54575986565911,24.6290801186944,51.9640852974186,100,33.6691855583543,23.4081261370528,44.3905397210431,10.2486355366889,1.87992722862341,13.1402183039463,15,2812,7324.694469,0.156116643,439,69.91465149,21.19487909,1966,596,12,135,103,1093,730,363,290,1159,5.69456428,66,10.59743954,298,1824,497,671,149,59,3.234649123,1093,256,23.42177493,37599.72477,54,1.920341394,56719.17663,67942.10637,1952,163,558,98,8.350409836,"17.56272401"
"16",39049000820,27188,0,84,423,1114,16433,586,678,159,63,659,0,0,475,35.2,615,708,0,484,1559,1741,1066,2739,397,1419,1110,35781,410,563,2739,25.4650416933932,51.8072289156626,40.6717780211756,0,28.8935870331219,52.6032315978456,NA,38.9193136181088,27.283170591614,37.8518093049971,9.13268236645606,3.61860999425617,20.5549470609712,16,3481,6229.83899,0.152829647,532,57.45475438,37.0295892,2000,1289,6,22,162,1396,841,555,433,1559,10.45542014,163,15.31169204,533,2141,651,658,136,90,4.203643157,1396,550,39.3982808,37992.01711,44,1.264004596,59563.58165,48027.652,2010,296,1228,232,14.72636816,"18.89250814"
"17",39049000910,23897,0,0,321,2431,19702,1130,865,104,25,977,82,57,418,32.2,752,770,6,380,1636,2020,1489,3474,391,931,649,26518,359,583,3474,23.8997555012225,26.7990788716177,69.9769717904433,2.36039147956246,38.5606874328679,46.48292883587,69.5121951219512,42.8612550374208,20.6930693069307,48.3663366336634,5.14851485148515,1.23762376237624,16.7818077144502,17,4077,8233.268625,0.138091734,563,27.71645818,67.40250184,1130,2748,24,28,146,1430,1051,379,298,1583,9.665192672,153,21.31469218,869,2327,680,1030,76,40,1.71895144,1430,510,35.66433566,36279.61165,49,1.201864116,47708.08359,51579.50899,1118,193,2781,676,17.26296959,"24.30780295"
"18",39049000920,15806,0,0,321,1501,14318,990,439,38,11,483,22,22,383,30.6,686,666,0,405,1093,1118,1131,2055,249,516,461,20375,120,546,2055,22.7813357731016,25.1094890510949,73.0413625304136,1.0705596107056,23.2558139534884,65.9560293137908,100,55.036496350365,34.257602862254,43.2021466905188,3.39892665474061,0.983899821109123,26.5693430656934,18,2577,7289.700856,0.13193636,340,26.77532014,68.68451688,690,1770,20,7,90,912,631,281,224,1064,14.28571429,152,33.72138145,869,1446,515,467,78,43,2.973720609,912,424,46.49122807,29683.76906,48,1.862630966,42316.4835,39874.01866,682,173,1791,684,25.36656891,"38.19095477"
"19",39049001000,24380,0,154,751,248,14605,167,408,614,400,107,126,126,74,22.1,807,816,0,1699,2448,1775,2938,5448,341,4727,1458,25931,2512,1653,5448,13.9297385620915,86.765785609398,4.55212922173275,2.31277533039648,53.1415273958113,67.3387096774193,100,53.928046989721,4.16901408450704,6.02816901408451,34.5915492957746,22.5352112676056,30.34140969163,19,5404,15659.1041,0.208734271,1128,88.76757957,4.311621021,4797,233,24,166,183,2410,571,1839,809,2576,6.444099379,166,34.99259808,1891,2238,281,268,661,226,10.09830206,2410,1868,77.51037344,30703.67126,115,2.128053294,44374.97518,21474.00145,4886,1712,207,80,35.03888661,"38.647343"
"20",39049001110,13184,0,230,417,11,NA,11,83,170,73,79,72,72,0,21.4,765,768,27,1031,1546,409,2021,2863,432,2491,332,13903,1752,1090,2863,27.9430789133247,87.0066363953894,0.384212364652462,2.5148445686343,70.3331995182658,100,100,70.5902899056933,0,19.3154034229829,41.5647921760391,17.8484107579462,38.0719524973804,20,3362,16285.72914,0.159726353,537,78.31647829,3.152885187,2633,106,2,524,94,1694,173,1521,752,1760,3.75,66,59.63712076,2005,833,67,69,292,178,21.36854742,1694,1633,96.39905549,20794.17647,60,1.784651993,25508.98544,17198.30044,2550,1465,71,57,57.45098039,"80.28169014"
