"","GEOID","medianhhincome_2010","aian_2010","asian_2010","hhlivingalone_2010","black_2010","blackmedianincome_2010","blackpoverty_2010","familyhouseholds_2010","fouryeardegree_2010","graddegree_2010","hsgrad_2010","latino_2010","latinopoverty_2010","lessthanhs_2010","medianage_2010","grossrent_2010","monthlyhousingcost_2010","multipleraces_2010","nonfamilyhouseholds_2010","numberofhousingunits_2010","over25population_2010","poverty_2010","totalpopulation_2010","vacantunits_2010","white_2010","white25andolder_2010","whitemedianincome_2010","whitepoverty_2010","renters_2010","occupiedunits_2010","vacancyrate_2010","pctwhite_2010","pctblack_2010","pctlatino_2010","pctwhitepoverty_2010","pctblackpoverty_2010","pctlatinopoverty_2010","pctpoverty_2010","pctlessthanhs_2010","pcthsgrad_2010","pctfouryeardegree_2010","pctgraddegree_2010","pctrenters_2010"
"1",39049000110,60784,0,93,738,0,NA,0,840,973,671,408,63,63,60,40,970,1226,0,979,1963,2797,396,3611,144,3482,2729,60212,350,312,3611,7.33571064696893,96.4275823871504,0,1.74466906674051,10.0516944284894,NA,100,10.9664912766547,2.14515552377547,14.5870575616732,34.7872720772256,23.9899892742224,8.64026585433398
"2",39049000120,81696,0,29,549,55,2499,32,871,861,710,344,55,55,20,46,736,1143,0,611,1573,2409,276,3058,91,2911,2331,82556,244,278,3032,5.78512396694215,95.192936559843,1.79856115107914,1.79856115107914,8.38199931295088,58.1818181818182,100,9.02550686723349,0.8302200083022,14.2797841427978,35.7409713574097,29.4728102947281,9.1688654353562
"3",39049000210,75294,0,37,412,18,NA,0,680,1024,587,201,132,132,30,38.9,679,1189,0,660,1471,2249,224,2858,131,2733,2160,72351,208,277,2858,8.90550645819171,95.6263121063681,0.629811056682995,4.6186144156753,7.61068422978412,0,100,7.83764870538838,1.33392618941752,8.93730546909738,45.5313472654513,26.1004891062695,9.69209237228831
"4",39049000220,96524,0,23,358,24,NA,0,1068,1257,915,194,26,26,80,44.2,493,1502,0,512,1663,2858,137,3769,83,3692,2813,96492,137,126,3769,4.99098015634396,97.9570177765986,0.636773680021226,0.689838153356328,3.71072589382449,0,100,3.6349164234545,2.79916025192442,6.78796361091672,43.9818054583625,32.0153953813856,3.34306182011144
"5",39049000310,41168,0,14,355,907,38883,196,886,280,127,786,90,90,259,35.8,744,830,0,439,1612,2236,452,3128,287,2036,1549,41824,227,538,3128,17.8039702233251,65.0895140664962,28.9961636828645,2.8772378516624,11.1493123772102,21.6097023153253,100,14.4501278772379,11.5831842576029,35.1520572450805,12.5223613595707,5.67978533094812,17.1994884910486
"6",39049000320,46500,0,86,382,231,53750,0,656,222,56,591,0,0,159,44,940,859,0,400,1119,1679,123,2252,63,1912,1489,44949,117,188,2252,5.63002680965147,84.9023090586146,10.2575488454707,0,6.11924686192469,0,NA,5.46181172291297,9.46992257296009,35.1995235259083,13.222156045265,3.33531864204884,8.34813499111901
"7",39049000330,33882,0,0,341,445,42609,186,471,159,51,562,56,56,324,30.3,779,796,0,483,1160,1577,940,2433,206,1927,1318,34868,735,517,2433,17.7586206896552,79.2026304973284,18.2901767365393,2.30168516235101,38.1421899325376,41.7977528089888,100,38.6354295108919,20.5453392517438,35.6372859860495,10.0824350031706,3.23398858592264,21.2494862309905
"8",39049000410,55865,0,46,470,233,NA,15,371,995,502,154,38,38,0,28.9,858,962,0,826,1344,2000,216,2539,147,2090,1712,54865,201,764,2539,10.9375,82.315872390705,9.17684127609295,1.49665222528555,9.61722488038277,6.43776824034335,100,8.50728633320205,0,7.7,49.75,25.1,30.0905868452147
"9",39049000420,66125,25,0,577,0,NA,0,717,789,633,290,134,134,14,36.9,754,1075,29,796,1588,2362,114,3153,75,3044,2302,65875,114,452,3153,4.72292191435768,96.5429749444973,0,4.24992071043451,3.74507227332457,NA,100,3.61560418648906,0.592718035563082,12.2777307366638,33.4038950042337,26.7993226079594,14.3355534411671
"10",39049000500,47689,0,424,731,141,NA,50,880,1008,724,298,108,108,41,29.9,790,923,0,1078,2233,2791,698,4102,275,3450,2445,49349,451,1073,4102,12.3152709359606,84.1053144807411,3.43734763529985,2.63286201852755,13.0724637681159,35.4609929078014,100,17.0160897123354,1.46900752418488,10.6771766391974,36.1160874238624,25.9405231099964,26.1579717211117
"11",39049000600,41433,0,204,726,253,20428,81,581,775,595,328,75,75,99,29.1,695,767,10,1159,2027,2266,826,3625,287,2951,1917,42348,681,1323,3625,14.158855451406,81.4068965517241,6.97931034482759,2.06896551724138,23.0769230769231,32.0158102766798,100,22.7862068965517,4.36893203883495,14.4748455428067,34.2012356575463,26.2577228596646,36.4965517241379
"12",39049000710,24410,0,69,521,872,23077,388,602,128,23,747,222,222,420,31.7,816,794,0,669,1508,1741,990,2844,237,1818,1215,25101,560,595,2844,15.7161803713528,63.9240506329114,30.6610407876231,7.80590717299578,30.8030803080308,44.4954128440367,100,34.8101265822785,24.1240666283745,42.9063756461804,7.35209649626651,1.32107983917289,20.9212376933896
"13",39049000720,22881,0,0,285,2089,24263,1015,641,96,58,626,85,85,501,30.1,682,693,0,364,1215,1725,1427,3035,210,857,640,18826,382,533,3035,17.2839506172839,28.2372322899506,68.830313014827,2.8006589785832,44.5740956826138,48.5878410722834,100,47.0181219110379,29.0434782608696,36.2898550724638,5.56521739130435,3.36231884057971,17.5617792421746
