"","X","GEOID","aian_2021","asian_2021","hhlivingalone_2021","black_2021","blackmedianincome_2021","blackpoverty_2021","familyhouseholds_2021","fouryeardegree_2021","graddegree_2021","hsgrad_2021","latino_2021","latinopoverty_2021","lessthanhs_2021","medianage_2021","grossrent_2021","medianyearbuilt_2021","monthlyhousingcost_2021","multipleraces_2021","nonfamilyhouseholds_2021","numberofhousingunits_2021","over25population_2021","poverty_2021","totalpopulation_2021","vacantunits_2021","whitemalebach_2021","whitemalehs_2021","whitemalelessthanhs_2021","white_2021","white25andolder_2021","whitemedianincome_2021","whitepoverty_2021","whitefemalebach_2021","whitefemalehs_2021","whitefemalelessthanhs_2021","renters_2021","occupiedunits_2021","vacancyrate_2021","pctwhite_2021","pctblack_2021","pctlatino_2021","pctwhitepoverty_2021","pctblackpoverty_2021","pctlatinopoverty_2021","pctpoverty_2021","medianagehousing_2021","pctlessthanhs_2021","whitepctlessthanhs_2021","pcthsgrad_2021","whitepcthsgrad_2021","pctfouryeardegree_2021","whitepctbachabove_2021","pctgraddegree_2021","pctrenters_2021"
"161",161,390490038001,0,12,307,104,NA,NA,86,NA,NA,NA,10,NA,NA,34.1,779,1940,NA,0,350,461,NA,NA,677,25,NA,NA,NA,526,NA,NA,NA,NA,NA,NA,476,581,0.0542299349240781,77.6957163958641,15.3618906942393,1.47710487444609,NA,NA,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,81.9277108433735
"162",162,390490038002,0,0,339,252,NA,NA,229,NA,NA,NA,0,NA,NA,35,857,0,NA,0,565,872,NA,NA,1710,78,NA,NA,NA,1377,NA,NA,NA,NA,NA,NA,531,1710,0.0894495412844037,80.5263157894737,14.7368421052632,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,31.0526315789474
"163",163,390490040011,0,27,379,94,NA,NA,16,NA,NA,NA,52,NA,NA,26.3,812,0,NA,0,533,588,NA,NA,883,39,NA,NA,NA,677,NA,NA,NA,NA,NA,NA,850,883,0.0663265306122449,76.6704416761042,10.6455266138165,5.88901472253681,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,96.2627406568516
"164",164,390490040012,0,42,321,102,NA,NA,135,NA,NA,NA,50,NA,NA,31.8,754,1964,NA,0,366,551,NA,NA,676,50,NA,NA,NA,445,NA,NA,NA,NA,NA,NA,438,676,0.0907441016333938,65.8284023668639,15.0887573964497,7.39644970414201,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,64.792899408284
"165",165,390490040021,0,15,459,357,NA,NA,34,NA,NA,NA,0,NA,NA,62.8,321,1976,NA,0,501,535,NA,NA,608,0,NA,NA,NA,219,NA,NA,NA,NA,NA,NA,608,608,0,36.0197368421053,58.7171052631579,0,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,100
"166",166,390490040022,0,377,1103,91,NA,NA,102,NA,NA,NA,37,NA,NA,33.2,1486,2009,NA,0,1265,1603,NA,NA,1650,236,NA,NA,NA,1121,NA,NA,NA,NA,NA,NA,1186,1650,0.147223955084217,67.9393939393939,5.51515151515152,2.24242424242424,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,71.8787878787879
"167",167,390490042001,0,9,242,159,NA,NA,84,NA,NA,NA,27,NA,NA,36.3,828,2006,NA,9,250,540,NA,NA,490,206,NA,NA,NA,270,NA,NA,NA,NA,NA,NA,442,490,0.381481481481481,55.1020408163265,32.4489795918367,5.51020408163265,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,90.2040816326531
"168",168,390490043011,0,79,291,0,NA,NA,6,NA,NA,NA,0,NA,NA,28.8,1474,1994,NA,14,371,457,NA,NA,471,80,NA,NA,NA,378,NA,NA,NA,NA,NA,NA,471,471,0.175054704595186,80.2547770700637,0,0,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,100
"169",169,390490043012,0,0,229,0,NA,NA,141,NA,NA,NA,8,NA,NA,39.7,1313,1978,NA,0,321,462,NA,NA,696,0,NA,NA,NA,696,NA,NA,NA,NA,NA,NA,314,696,0,100,0,1.14942528735632,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,45.1149425287356
"170",170,390490043013,0,163,302,10,NA,NA,332,NA,NA,NA,67,NA,NA,30,1596,2002,NA,0,618,1142,NA,NA,1721,192,NA,NA,NA,1477,NA,NA,NA,NA,NA,NA,1322,1721,0.168126094570928,85.8221963974433,0.581057524694945,3.89308541545613,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,76.8158047646717
"171",171,390490043021,0,33,18,25,NA,NA,22,NA,NA,NA,0,NA,NA,57.5,NA,1946,NA,0,75,174,NA,NA,210,77,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,173,210,0.442528735632184,72.3809523809524,11.9047619047619,0,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,82.3809523809524
"172",172,390490043022,0,0,47,284,NA,NA,178,NA,NA,NA,104,NA,NA,55.8,724,0,NA,0,100,451,NA,NA,753,173,NA,NA,NA,434,NA,NA,NA,NA,NA,NA,548,753,0.383592017738359,57.6361221779549,37.7158034528552,13.8114209827357,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,72.7755644090306
"173",173,390490043023,0,0,24,61,NA,NA,104,NA,NA,NA,572,NA,NA,15.6,649,0,NA,18,150,257,NA,NA,1005,3,NA,NA,NA,383,NA,NA,NA,NA,NA,NA,317,1005,0.0116731517509728,38.1094527363184,6.06965174129353,56.9154228855721,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,31.5422885572139
