"","X","GEOID","aian_2021","asian_2021","hhlivingalone_2021","black_2021","blackmedianincome_2021","blackpoverty_2021","familyhouseholds_2021","fouryeardegree_2021","graddegree_2021","hsgrad_2021","latino_2021","latinopoverty_2021","lessthanhs_2021","medianage_2021","grossrent_2021","medianyearbuilt_2021","monthlyhousingcost_2021","multipleraces_2021","nonfamilyhouseholds_2021","numberofhousingunits_2021","over25population_2021","poverty_2021","totalpopulation_2021","vacantunits_2021","whitemalebach_2021","whitemalehs_2021","whitemalelessthanhs_2021","white_2021","white25andolder_2021","whitemedianincome_2021","whitepoverty_2021","whitefemalebach_2021","whitefemalehs_2021","whitefemalelessthanhs_2021","renters_2021","occupiedunits_2021","vacancyrate_2021","pctwhite_2021","pctblack_2021","pctlatino_2021","pctwhitepoverty_2021","pctblackpoverty_2021","pctlatinopoverty_2021","pctpoverty_2021","medianagehousing_2021","pctlessthanhs_2021","whitepctlessthanhs_2021","pcthsgrad_2021","whitepcthsgrad_2021","pctfouryeardegree_2021","whitepctbachabove_2021","pctgraddegree_2021","pctrenters_2021"
"222",222,390490055001,0,0,333,810,NA,NA,141,NA,NA,NA,13,NA,NA,40.5,595,1945,NA,0,367,530,NA,NA,947,22,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,658,947,0.0415094339622641,4.22386483632524,85.5332629355861,1.3727560718057,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,69.4825765575502
"223",223,390490055002,0,0,131,478,NA,NA,142,NA,NA,NA,0,NA,NA,43.9,674,1952,NA,0,171,399,NA,NA,574,86,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,337,574,0.215538847117794,8.88501742160279,83.2752613240418,0,NA,NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,58.7108013937282
"224",224,390490055003,0,12,91,795,NA,NA,266,NA,NA,NA,131,NA,NA,26.9,934,0,NA,0,175,512,NA,NA,1062,71,NA,NA,NA,224,NA,NA,NA,NA,NA,NA,852,1062,0.138671875,21.0922787193974,74.8587570621469,12.3352165725047,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,80.225988700565
"225",225,390490055004,0,0,48,469,NA,NA,127,NA,NA,NA,0,NA,NA,30.3,696,0,NA,0,133,280,NA,NA,762,20,NA,NA,NA,282,NA,NA,NA,NA,NA,NA,511,762,0.0714285714285714,37.007874015748,61.5485564304462,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,67.0603674540682
"226",226,390490055005,0,0,71,849,NA,NA,353,NA,NA,NA,9,NA,NA,32.4,817,1945,NA,0,82,624,NA,NA,1134,189,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,811,1134,0.302884615384615,3.26278659611993,74.8677248677249,0.793650793650794,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,71.5167548500882
"227",227,390490056101,21,7,125,375,NA,NA,179,NA,NA,NA,0,NA,NA,36.8,878,0,NA,0,150,459,NA,NA,750,130,NA,NA,NA,309,NA,NA,NA,NA,NA,NA,342,750,0.28322440087146,41.2,50,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,45.6
"228",228,390490056102,0,2,147,419,NA,NA,181,NA,NA,NA,6,NA,NA,32.3,970,1941,NA,0,270,571,NA,NA,944,120,NA,NA,NA,423,NA,NA,NA,NA,NA,NA,627,944,0.21015761821366,44.8093220338983,44.385593220339,0.635593220338983,NA,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,66.4194915254237
"229",229,390490056201,0,0,124,253,NA,NA,137,NA,NA,NA,17,NA,NA,30.4,1016,0,NA,0,155,386,NA,NA,627,94,NA,NA,NA,347,NA,NA,NA,NA,NA,NA,352,627,0.243523316062176,55.3429027113238,40.3508771929825,2.71132376395534,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,56.140350877193
"230",230,390490056202,0,0,50,72,NA,NA,87,NA,NA,NA,0,NA,NA,45.2,863,0,NA,0,62,165,NA,NA,330,16,NA,NA,NA,255,NA,NA,NA,NA,NA,NA,140,330,0.096969696969697,77.2727272727273,21.8181818181818,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,42.4242424242424
"231",231,390490056203,0,0,144,197,NA,NA,145,NA,NA,NA,27,NA,NA,31.6,884,1943,NA,11,177,404,NA,NA,666,82,NA,NA,NA,419,NA,NA,NA,NA,NA,NA,459,666,0.202970297029703,62.9129129129129,29.5795795795796,4.05405405405405,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,68.9189189189189
"232",232,390490056204,0,0,74,72,NA,NA,123,NA,NA,NA,0,NA,NA,32.1,836,0,NA,0,137,390,NA,NA,517,130,NA,NA,NA,436,NA,NA,NA,NA,NA,NA,261,504,0.333333333333333,84.3326885880077,13.926499032882,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,51.7857142857143
"233",233,390490057001,0,0,101,0,NA,NA,158,NA,NA,NA,50,NA,NA,39,998,0,NA,0,178,336,NA,NA,615,0,NA,NA,NA,590,NA,NA,NA,NA,NA,NA,277,615,0,95.9349593495935,0,8.13008130081301,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,45.0406504065041
"234",234,390490057002,0,0,326,0,NA,NA,413,NA,NA,NA,62,NA,NA,42.1,1192,0,NA,29,400,902,NA,NA,1348,89,NA,NA,NA,1300,NA,NA,NA,NA,NA,NA,535,1348,0.098669623059867,96.4391691394659,0,4.59940652818991,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,39.6884272997033
"235",235,390490057003,0,0,197,0,NA,NA,288,NA,NA,NA,16,NA,NA,34.2,1647,0,NA,0,345,633,NA,NA,1203,0,NA,NA,NA,1203,NA,NA,NA,NA,NA,NA,576,1203,0,100,0,1.33000831255195,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,47.8802992518703
"236",236,390490057004,0,0,363,148,NA,NA,27,NA,NA,NA,0,NA,NA,30.1,1406,2000,NA,0,453,538,NA,NA,663,58,NA,NA,NA,472,NA,NA,NA,NA,NA,NA,575,663,0.107806691449814,71.1915535444947,22.3227752639517,0,NA,NA,NA,NA,21,NA,NA,NA,NA,NA,NA,NA,86.7269984917044
"237",237,390490058101,0,0,230,0,NA,NA,211,NA,NA,NA,0,NA,NA,34.2,1671,0,NA,0,296,583,NA,NA,872,76,NA,NA,NA,826,NA,NA,NA,NA,NA,NA,358,872,0.130360205831904,94.7247706422018,0,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,41.0550458715596
"238",238,390490058102,0,37,149,18,NA,NA,97,NA,NA,NA,0,NA,NA,28.8,1556,0,NA,0,241,338,NA,NA,578,0,NA,NA,NA,511,NA,NA,NA,NA,NA,NA,310,573,0,88.4083044982699,3.11418685121107,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,54.1012216404887
"239",239,390490058103,0,0,223,298,NA,NA,312,NA,NA,NA,40,NA,NA,33.3,1158,0,NA,1,413,741,NA,NA,1617,16,NA,NA,NA,1290,NA,NA,NA,NA,NA,NA,795,1608,0.0215924426450742,79.7773654916512,18.4291898577613,2.47371675943105,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,49.4402985074627
"240",240,390490058201,0,26,181,50,NA,NA,143,NA,NA,NA,55,NA,NA,32.5,1099,0,NA,0,274,546,NA,NA,809,129,NA,NA,NA,689,NA,NA,NA,NA,NA,NA,593,809,0.236263736263736,85.1668726823239,6.18046971569839,6.79851668726823,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,73.3003708281829
"241",241,390490058202,0,0,250,185,NA,NA,360,NA,NA,NA,130,NA,NA,36.7,666,0,NA,0,370,730,NA,NA,1482,0,NA,NA,NA,1162,NA,NA,NA,NA,NA,NA,503,1482,0,78.4075573549258,12.4831309041835,8.7719298245614,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,33.940620782726
"242",242,390490059001,0,0,73,483,NA,NA,147,NA,NA,NA,20,NA,NA,35.1,1073,1942,NA,10,94,293,NA,NA,707,52,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,430,707,0.177474402730375,23.7623762376238,68.3168316831683,2.82885431400283,NA,NA,NA,NA,79,NA,NA,NA,NA,NA,NA,NA,60.8203677510608
"243",243,390490059002,0,8,104,446,NA,NA,99,NA,NA,NA,0,NA,NA,29.5,867,0,NA,0,132,319,NA,NA,648,88,NA,NA,NA,141,NA,NA,NA,NA,NA,NA,563,648,0.275862068965517,21.7592592592593,68.8271604938272,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,86.8827160493827
"244",244,390490059003,0,0,119,589,NA,NA,306,NA,NA,NA,66,NA,NA,33.2,965,1943,NA,58,129,508,NA,NA,1234,73,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,692,1230,0.143700787401575,32.4149108589951,47.7309562398703,5.3484602917342,NA,NA,NA,NA,78,NA,NA,NA,NA,NA,NA,NA,56.260162601626
"245",245,390490060001,0,0,92,75,NA,NA,79,NA,NA,NA,0,NA,NA,30.8,921,1944,NA,0,115,255,NA,NA,456,61,NA,NA,NA,370,NA,NA,NA,NA,NA,NA,403,456,0.23921568627451,81.140350877193,16.4473684210526,0,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,88.3771929824561
"246",246,390490060002,0,56,69,259,NA,NA,259,NA,NA,NA,0,NA,NA,29.2,967,0,NA,0,105,436,NA,NA,963,72,NA,NA,NA,597,NA,NA,NA,NA,NA,NA,753,963,0.165137614678899,61.993769470405,26.8951194184839,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,78.1931464174455
"247",247,390490060003,0,5,73,162,NA,NA,141,NA,NA,NA,0,NA,NA,32.8,910,0,NA,47,131,310,NA,NA,682,38,NA,NA,NA,407,NA,NA,NA,NA,NA,NA,381,682,0.12258064516129,59.6774193548387,23.7536656891496,0,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,55.8651026392962
"248",248,390490061001,0,154,98,264,NA,NA,154,NA,NA,NA,23,NA,NA,30,927,0,NA,0,321,699,NA,NA,1021,224,NA,NA,NA,536,NA,NA,NA,NA,NA,NA,600,936,0.320457796852647,52.4975514201763,25.8570029382958,2.25269343780607,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,64.1025641025641
"249",249,390490061002,0,29,109,320,NA,NA,277,NA,NA,NA,56,NA,NA,30.8,957,0,NA,50,249,677,NA,NA,1396,151,NA,NA,NA,955,NA,NA,NA,NA,NA,NA,1010,1396,0.223042836041359,68.4097421203438,22.9226361031519,4.01146131805158,NA,NA,NA,NA,2021,NA,NA,NA,NA,NA,NA,NA,72.3495702005731
"250",250,390490062361,0,180,58,0,NA,NA,469,NA,NA,NA,16,NA,NA,46.8,NA,1982,NA,0,58,527,NA,NA,1450,0,NA,NA,NA,1268,NA,NA,NA,NA,NA,NA,29,1450,0,87.448275862069,0,1.10344827586207,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,2
"251",251,390490062362,0,61,65,0,NA,NA,487,NA,NA,NA,429,NA,NA,35.6,NA,1997,NA,0,79,566,NA,NA,2216,0,NA,NA,NA,1699,NA,NA,NA,NA,NA,NA,39,2216,0,76.6696750902527,0,19.3592057761733,NA,NA,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,1.75992779783394
"252",252,390490062363,0,430,117,0,NA,NA,761,NA,NA,NA,54,NA,NA,46.9,NA,1994,NA,0,117,878,NA,NA,2491,0,NA,NA,NA,1996,NA,NA,NA,NA,NA,NA,0,2491,0,80.1284624648735,0,2.16780409474107,NA,NA,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,0
"253",253,390490062371,0,5,19,35,NA,NA,229,NA,NA,NA,0,NA,NA,38.6,NA,NA,NA,0,19,248,NA,NA,860,0,NA,NA,NA,729,NA,NA,NA,NA,NA,NA,79,794,0,84.7674418604651,4.06976744186047,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.94962216624685
"254",254,390490062372,0,440,626,20,NA,NA,749,NA,NA,NA,143,NA,NA,29.2,1403,2005,NA,21,863,1612,NA,NA,3018,0,NA,NA,NA,2386,NA,NA,NA,NA,NA,NA,2393,3018,0,79.0589794565938,0.662690523525513,4.73823724320742,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,79.2909211398277
"255",255,390490062373,0,841,233,0,NA,NA,458,NA,NA,NA,0,NA,NA,44.2,NA,1989,NA,0,233,691,NA,NA,1682,0,NA,NA,NA,841,NA,NA,NA,NA,NA,NA,177,1682,0,50,0,0,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,10.5231866825208
"256",256,390490062374,0,167,334,86,NA,NA,203,NA,NA,NA,15,NA,NA,39.8,1039,1985,NA,0,405,608,NA,NA,1134,0,NA,NA,NA,812,NA,NA,NA,NA,NA,NA,703,1134,0,71.6049382716049,7.58377425044092,1.32275132275132,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,61.9929453262787
"257",257,390490062381,0,152,166,199,NA,NA,558,NA,NA,NA,127,NA,NA,43.7,1018,1976,NA,107,206,904,NA,NA,1931,140,NA,NA,NA,1410,NA,NA,NA,NA,NA,NA,364,1931,0.154867256637168,73.0191610564474,10.305541170378,6.57690315898498,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,18.8503366131538
"258",258,390490062391,0,735,203,0,NA,NA,581,NA,NA,NA,0,NA,NA,41.7,1574,NA,NA,0,203,784,NA,NA,1740,0,NA,NA,NA,1005,NA,NA,NA,NA,NA,NA,270,1740,0,57.7586206896552,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.5172413793103
"259",259,390490062392,0,1441,319,0,NA,NA,454,NA,NA,NA,0,NA,NA,31.6,1259,1998,NA,0,394,848,NA,NA,2078,0,NA,NA,NA,614,NA,NA,NA,NA,NA,NA,1690,2078,0,29.5476419634264,0,0,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,81.3282001924928
"260",260,390490062393,0,1210,361,549,NA,NA,855,NA,NA,NA,28,NA,NA,35.6,1387,2010,NA,0,446,1420,NA,NA,2753,119,NA,NA,NA,904,NA,NA,NA,NA,NA,NA,2434,2753,0.0838028169014085,32.8369051943335,19.9418815837268,1.01707228478024,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,88.4126407555394
"261",261,390490062401,0,149,619,131,NA,NA,352,NA,NA,NA,155,NA,NA,27,1423,2007,NA,0,852,1204,NA,NA,2179,0,NA,NA,NA,1885,NA,NA,NA,NA,NA,NA,948,2179,0,86.5075722808628,6.01193207893529,7.11335474988527,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,43.5061955025241
"262",262,390490062402,0,411,417,20,NA,NA,848,NA,NA,NA,18,NA,NA,57.5,1826,2010,NA,0,430,1285,NA,NA,2226,7,NA,NA,NA,1795,NA,NA,NA,NA,NA,NA,439,2226,0.00544747081712062,80.6379155435759,0.898472596585804,0.808625336927224,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,19.7214734950584
"263",263,390490062411,0,125,325,0,NA,NA,649,NA,NA,NA,30,NA,NA,46.7,1175,2012,NA,0,338,987,NA,NA,2367,0,NA,NA,NA,2242,NA,NA,NA,NA,NA,NA,596,2367,0,94.7190536544149,0,1.26742712294043,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,25.1795521757499
"264",264,390490062412,0,1956,804,0,NA,NA,876,NA,NA,NA,66,NA,NA,30.4,1351,2005,NA,0,910,2025,NA,NA,3760,239,NA,NA,NA,1712,NA,NA,NA,NA,NA,NA,3164,3760,0.118024691358025,45.531914893617,0,1.75531914893617,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,84.1489361702128
"265",265,390490062413,0,0,0,377,NA,NA,619,NA,NA,NA,0,NA,NA,27.6,NA,2007,NA,0,0,800,NA,NA,2405,181,NA,NA,NA,2000,NA,NA,NA,NA,NA,NA,0,2405,0.22625,83.1600831600832,15.6756756756757,0,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,0
"266",266,390490063011,0,9,205,105,NA,NA,175,NA,NA,NA,149,NA,NA,34.9,957,1979,NA,111,282,513,NA,NA,932,56,NA,NA,NA,629,NA,NA,NA,NA,NA,NA,757,932,0.10916179337232,67.4892703862661,11.2660944206009,15.9871244635193,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,81.2231759656652
"267",267,390490063012,0,120,175,28,NA,NA,453,NA,NA,NA,119,NA,NA,38.5,1500,1984,NA,32,260,713,NA,NA,1781,0,NA,NA,NA,1471,NA,NA,NA,NA,NA,NA,488,1776,0,82.594048287479,1.57215047725997,6.68163952835486,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,NA,NA,27.4774774774775
"268",268,390490063021,0,216,395,462,NA,NA,837,NA,NA,NA,156,NA,NA,34.1,1261,1983,NA,138,462,1456,NA,NA,3155,157,NA,NA,NA,2236,NA,NA,NA,NA,NA,NA,2511,3155,0.10782967032967,70.8716323296355,14.6434231378764,4.9445324881141,NA,NA,NA,NA,38,NA,NA,NA,NA,NA,NA,NA,79.5879556259905
"269",269,390490063022,0,284,117,139,NA,NA,422,NA,NA,NA,224,NA,NA,30.4,1283,1988,NA,224,201,680,NA,NA,1634,57,NA,NA,NA,987,NA,NA,NA,NA,NA,NA,1170,1634,0.0838235294117647,60.4039167686659,8.50673194614443,13.7086903304774,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,NA,NA,71.6034271725826
"270",270,390490063101,0,116,40,0,NA,NA,324,NA,NA,NA,0,NA,NA,39,NA,1967,NA,0,40,364,NA,NA,1046,0,NA,NA,NA,916,NA,NA,NA,NA,NA,NA,0,1046,0,87.5717017208413,0,0,NA,NA,NA,NA,54,NA,NA,NA,NA,NA,NA,NA,0
"271",271,390490063102,0,142,81,9,NA,NA,342,NA,NA,NA,12,NA,NA,42.4,NA,1961,NA,12,81,423,NA,NA,1171,0,NA,NA,NA,1008,NA,NA,NA,NA,NA,NA,0,1171,0,86.0802732707088,0.768573868488471,1.02476515798463,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,0
"272",272,390490063103,0,120,77,5,NA,NA,269,NA,NA,NA,0,NA,NA,43.9,1842,1958,NA,0,101,370,NA,NA,1042,0,NA,NA,NA,880,NA,NA,NA,NA,NA,NA,54,1042,0,84.4529750479847,0.479846449136276,0,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,5.18234165067178
"273",273,390490063104,0,116,52,0,NA,NA,362,NA,NA,NA,22,NA,NA,42.4,1438,1964,NA,0,56,452,NA,NA,1128,34,NA,NA,NA,917,NA,NA,NA,NA,NA,NA,71,1128,0.0752212389380531,81.2943262411348,0,1.95035460992908,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,6.29432624113475
"274",274,390490063211,0,43,134,10,NA,NA,117,NA,NA,NA,16,NA,NA,51.5,1215,1968,NA,0,151,286,NA,NA,627,18,NA,NA,NA,567,NA,NA,NA,NA,NA,NA,69,524,0.0629370629370629,90.4306220095694,1.59489633173844,2.5518341307815,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,13.1679389312977
"275",275,390490063212,0,75,37,0,NA,NA,409,NA,NA,NA,21,NA,NA,39.1,1352,1965,NA,7,43,469,NA,NA,1508,17,NA,NA,NA,1405,NA,NA,NA,NA,NA,NA,46,1508,0.0362473347547974,93.1697612732095,0,1.39257294429708,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,3.05039787798408
"276",276,390490063213,0,63,12,0,NA,NA,395,NA,NA,NA,49,NA,NA,46.8,NA,1968,NA,47,17,466,NA,NA,1242,54,NA,NA,NA,1048,NA,NA,NA,NA,NA,NA,19,1242,0.11587982832618,84.3800322061192,0,3.94524959742351,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,1.52979066022544
"277",277,390490063214,0,27,88,0,NA,NA,293,NA,NA,NA,72,NA,NA,40.3,NA,1969,NA,72,88,381,NA,NA,1002,0,NA,NA,NA,893,NA,NA,NA,NA,NA,NA,0,1002,0,89.1217564870259,0,7.18562874251497,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,NA,NA,0
"278",278,390490063231,0,139,243,0,NA,NA,372,NA,NA,NA,33,NA,NA,55.7,1195,1965,NA,4,302,706,NA,NA,1362,32,NA,NA,NA,1203,NA,NA,NA,NA,NA,NA,444,1362,0.0453257790368272,88.3259911894273,0,2.42290748898678,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,32.5991189427313
"279",279,390490063232,0,156,170,20,NA,NA,397,NA,NA,NA,79,NA,NA,43.5,NA,1956,NA,65,170,567,NA,NA,1435,0,NA,NA,NA,1194,NA,NA,NA,NA,NA,NA,44,1435,0,83.205574912892,1.39372822299652,5.50522648083624,NA,NA,NA,NA,65,NA,NA,NA,NA,NA,NA,NA,3.06620209059233
"280",280,390490063233,0,67,77,7,NA,NA,240,NA,NA,NA,0,NA,NA,44.9,1323,1957,NA,0,93,333,NA,NA,807,0,NA,NA,NA,700,NA,NA,NA,NA,NA,NA,76,807,0,86.7410161090459,0.867410161090459,0,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,9.41759603469641
"281",281,390490063301,0,0,65,0,NA,NA,189,NA,NA,NA,0,NA,NA,39.6,NA,1955,NA,0,75,264,NA,NA,528,0,NA,NA,NA,496,NA,NA,NA,NA,NA,NA,68,528,0,93.9393939393939,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,12.8787878787879
"282",282,390490063302,0,63,95,0,NA,NA,204,NA,NA,NA,14,NA,NA,36.8,NA,NA,NA,0,153,357,NA,NA,804,0,NA,NA,NA,741,NA,NA,NA,NA,NA,NA,95,804,0,92.1641791044776,0,1.74129353233831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.81592039801
"283",283,390490063303,0,29,38,0,NA,NA,227,NA,NA,NA,12,NA,NA,34.5,1958,NA,NA,19,61,288,NA,NA,797,0,NA,NA,NA,702,NA,NA,NA,NA,NA,NA,110,797,0,88.0803011292346,0,1.50564617314931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.801756587202
"284",284,390490063304,0,46,242,0,NA,NA,220,NA,NA,NA,0,NA,NA,38.3,NA,1955,NA,0,242,500,NA,NA,914,38,NA,NA,NA,690,NA,NA,NA,NA,NA,NA,267,914,0.076,75.492341356674,0,0,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,29.2122538293217
"285",285,390490063305,0,34,75,0,NA,NA,175,NA,NA,NA,0,NA,NA,48.2,NA,1959,NA,0,75,250,NA,NA,630,0,NA,NA,NA,596,NA,NA,NA,NA,NA,NA,39,630,0,94.6031746031746,0,0,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,6.19047619047619
"286",286,390490063306,0,23,155,0,NA,NA,257,NA,NA,NA,26,NA,NA,35.9,2109,1958,NA,0,200,468,NA,NA,1091,11,NA,NA,NA,1068,NA,NA,NA,NA,NA,NA,409,1091,0.0235042735042735,97.8918423464711,0,2.38313473877177,NA,NA,NA,NA,63,NA,NA,NA,NA,NA,NA,NA,37.4885426214482
"287",287,390490063401,0,250,166,103,NA,NA,660,NA,NA,NA,263,NA,NA,43.8,1386,1982,NA,196,185,877,NA,NA,2051,32,NA,NA,NA,1407,NA,NA,NA,NA,NA,NA,223,2051,0.0364880273660205,68.6006825938567,5.02194051682106,12.8230131643101,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,10.8727450024378
"288",288,390490063402,0,194,269,0,NA,NA,405,NA,NA,NA,53,NA,NA,37.5,1202,1973,NA,0,324,762,NA,NA,1711,33,NA,NA,NA,1323,NA,NA,NA,NA,NA,NA,824,1711,0.0433070866141732,77.323202805377,0,3.09760374050263,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,48.1589713617767
"289",289,390490063511,0,116,477,63,NA,NA,472,NA,NA,NA,150,NA,NA,49.5,938,1975,NA,49,527,1063,NA,NA,1851,64,NA,NA,NA,1443,NA,NA,NA,NA,NA,NA,999,1846,0.0602069614299153,77.9578606158833,3.40356564019449,8.10372771474878,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,54.1170097508126
"290",290,390490063512,0,55,229,32,NA,NA,303,NA,NA,NA,83,NA,NA,40,1066,1976,NA,11,270,641,NA,NA,1203,68,NA,NA,NA,1032,NA,NA,NA,NA,NA,NA,379,1172,0.106084243369735,85.785536159601,2.66001662510391,6.89941812136326,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,NA,32.3378839590444
"291",291,390490063513,0,0,122,7,NA,NA,237,NA,NA,NA,7,NA,NA,45.5,1106,1974,NA,50,167,472,NA,NA,960,68,NA,NA,NA,903,NA,NA,NA,NA,NA,NA,205,960,0.144067796610169,94.0625,0.729166666666667,0.729166666666667,NA,NA,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,21.3541666666667
"292",292,390490063521,0,318,308,59,NA,NA,130,NA,NA,NA,49,NA,NA,30.1,1058,1978,NA,0,354,547,NA,NA,786,63,NA,NA,NA,384,NA,NA,NA,NA,NA,NA,746,786,0.115173674588665,48.8549618320611,7.50636132315522,6.23409669211196,NA,NA,NA,NA,43,NA,NA,NA,NA,NA,NA,NA,94.910941475827
"293",293,390490063522,0,405,144,39,NA,NA,193,NA,NA,NA,12,NA,NA,27.1,1149,1977,NA,0,305,498,NA,NA,1017,0,NA,NA,NA,573,NA,NA,NA,NA,NA,NA,918,1017,0,56.3421828908555,3.83480825958702,1.17994100294985,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,90.2654867256637
"294",294,390490063523,0,248,489,195,NA,NA,128,NA,NA,NA,215,NA,NA,26.7,1193,1982,NA,22,825,999,NA,NA,1646,46,NA,NA,NA,1114,NA,NA,NA,NA,NA,NA,1542,1646,0.046046046046046,67.6792223572296,11.8469015795869,13.0619684082625,NA,NA,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,93.681652490887
"295",295,390490063531,0,1,225,344,NA,NA,418,NA,NA,NA,86,NA,NA,31.7,1278,1973,NA,0,361,793,NA,NA,2151,14,NA,NA,NA,1711,NA,NA,NA,NA,NA,NA,861,2151,0.0176544766708701,79.5443979544398,15.9925615992562,3.99814039981404,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,NA,40.0278940027894
"296",296,390490063532,0,48,400,149,NA,NA,162,NA,NA,NA,56,NA,NA,31.9,948,1977,NA,14,596,804,NA,NA,1229,46,NA,NA,NA,974,NA,NA,NA,NA,NA,NA,774,1229,0.0572139303482587,79.2514239218877,12.1236777868186,4.55655004068348,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA,62.9780309194467
"297",297,390490063533,0,356,137,24,NA,NA,193,NA,NA,NA,0,NA,NA,30.9,1000,1985,NA,19,183,376,NA,NA,884,0,NA,NA,NA,400,NA,NA,NA,NA,NA,NA,484,884,0,45.2488687782805,2.71493212669683,0,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,54.7511312217195
"298",298,390490063534,0,53,797,17,NA,NA,138,NA,NA,NA,0,NA,NA,41.6,925,1968,NA,0,797,1026,NA,NA,1072,91,NA,NA,NA,919,NA,NA,NA,NA,NA,NA,1072,1072,0.0886939571150097,85.7276119402985,1.58582089552239,0,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,100
