"","aian_2021","asian_2021","hhlivingalone_2021","black_2021","latino_2021","multipleraces_2021","nonfamilyhouseholds_2021","numberofhousingunits_2021","totalpopulation_2021","vacantunits_2021","white_2021","renters_2021","occupiedunits_2021","GEOID"
"94",0,339,563,379,20403,31,725,2637,5660,331,4420,2169,5660,39049006384
"95",0,749.7627936,1310,389.6163445,2966,0,1497,2733.710468,4570.679503,258.963662,3235.638642,2797.837651,4573,39049006386
"96",0,245.2372064,792,443.3836555,43245,32,1012,2727.289532,5699.320497,183.036338,4641.361358,2197.162349,5697,39049006387
"97",0,344,270,251,13860,62,270,1910,5522,111,4761,76,5522,39049006391
"98",0,248,203,64,1936,9,299,1592,4412,0,4079,378,4412,39049006392
"99",0,755,389,287,23106,18,485,2119,5901,32,4404,829,5901,39049006393
"100",0,93,439,78,9194,56,529,1235,2787,0,2457,329,2787,39049006394
"101",0,421.3273642,1203.973524,446.6875353,3206,2.127632122,1421.010119,2241.019445,4006.367105,69.97914916,2937.000455,2124.13372,4006.730724,39049006395
"102",0,1149,956,518,5098,0,1315,2660,5434,98,3400,2560,5317,39049006396
"103",0,173,369,11,1234,0,433,1294,3087,90,2814,352,3087,39049006410
"104",0,822,433,24,73453,0,517,2117,5258,155,4154,2126,5258,39049006430
"105",0,111.5,278.5785124,9,2932,88.975,304.6859504,1314.853786,3706.3,74,3382.2,261.6684073,3641.917355,39049006500
"106",0,72.68656952,375.9222463,2.218650093,8945,58.33235912,511.2124486,1703.520652,3975.663051,104.3237068,3833.425472,649.9774228,3940.183193,39049006600
"107",0,217,367,191,200,29,472,1349,2887,87,2382,813,2887,39049006710
"108",0,69,460,110,2546,0,519,1675,4135,55,3887,344,4098,39049006721
"109",0,19,323,82,162734,97,341,1151,2943,23,2671,516,2749,39049006722
"110",0,0.111321481,307.2663487,77.0575461,8273,21.00902189,344.4377358,1065.226694,2439.949254,38.06199425,2305.498484,289.7710503,2439.398988,39049006810
"111",0,43,1027,606,337,19,1181,2273,3421,391,2637,2607,3351,39049006821
"112",0,49.88867852,350.807922,15.95358262,8329,39.99097811,441.6509946,1000.983922,2035.435565,21.93800575,1833.864078,380.3706722,2031.032833,39049006822
"113",0,38,116,12,2161,29,137,665,1780,13,1634,67,1780,39049006910
"114",0,163,706.9257294,914.9888713,73550,9,824.9112696,1750.789385,3920.61518,65,2509.637438,2107.858277,3902.568179,39049006921
"115",0,297,260,1178,167403,32,330,1575,4818,0,2671,1038,4806,39049006923
"116",0,434,641,1498,13721,0,813,1872,3919,177,1504,2101,3915,39049006924
"117",0,190,705,3313,1446916,988,848,2868,7181,165,2233,4860,6970,39049006931
"118",0,456,867,3105,45710,38,1024,2576,6752,0,2869,1936,6724,39049006932
"119",0,1428,982,3634,116786,0,1023,2487,6492,157,1178,5177,6492,39049006933
"120",0,0,196,825,128881,170,200,704,1911,41,760,1563,1911,39049006942
"121",0,265,491,1828,81763,138,575,2072,4956,11,2404,2048,4946,39049006943
"122",0,41,588,1384,7735,0,727,2096,4661,144,3051,1341,4657,39049006944
"123",0,127,992,3375,286317,955,1342,2774,6224,278,1297,5580,6217,39049006945
"124",0,29,463,12,4113,17,479,1292,2633,38,2504,169,2627,39049006950
"125",0,202,1140,1812,49130,0,1257,3161,6996,131,4668,2865,6996,39049006990
"126",0,143,271,845,30350,41,403,1159,4738,0,3510,1623,3211,39049007010
"127",0,55,645,222,49,47,747,2845,6940,137,6038,1592,6880,39049007020
"128",0,232,324,21,12506,0,487,1126,2365,110,1877,967,2124,39049007041
"129",0,287,1021,1511,395773,679,1349,2795,6165,160,3341,4769,6165,39049007043
"130",0,1366,1012,757,164685,157,1476,3112,6307,298,3843,4253,6205,39049007044
"131",0,171,492,850,57237,0,869,1830,4283,12,3025,1927,4283,39049007047
"132",0,819,533,588,125688,134,854,2499,6222,129,4055,1587,6222,39049007048
"133",0,580,749,2998,239002,156,873,2540,7007,73,2521,1678,6902,39049007112
"134",0,575,467,2687,107848,90,563,1973,5876,105,2146,2341,5876,39049007113
"135",0,152,724,1648,3625,105,881,2398,5146,175,2971,3131,5117,39049007114
"136",0,0,746,3289,86085,22,992,2575,6089,163,2413,4411,5984,39049007115
"137",0,12,379,690,28628,85,491,1934,5135,101,3899,1570,5129,39049007120
"138",0,607,1171,1458,292742,213,1384,4216,9567,190,6294,4206,9471,39049007132
"139",0,40.83054963,341.4223592,182.5622532,565,0,391.4223592,2448.283848,6664.098539,90,6328.482384,384.9969155,6655.106178,39049007193
"140",0,154.1694504,651.5776408,401.4377468,1709,0,742.5776408,2687.716152,5867.901461,169,4886.517616,1451.003084,5634.893822,39049007194
"141",0,135,243,355,2401,46,321,1251,3172,42,2283,789,3172,39049007198
"142",0,426,929,3229,9604,22,1163,3111,7314,211,3494,2530,7314,39049007199
"143",0,3,68,68,121,4,71,261,638,28,528,52,638,39049007201
"144",0,408,661,1294,8424,0,844,1698,3574,135,1666,1827,3574,39049007202
"145",0,585.8181986,130.9681092,250.9645089,132260,492.8590058,148.9598485,1669.51064,5262.70267,62.99238341,3651.140591,549.7894133,5262.26637,39049007203
"146",0,570,1533,761,974,50,2256,3697,6266,110,4385,4208,6266,39049007205
"147",0,313,2070,1746,113278,51,2342,4929,8933,268,6389,2657,8933,39049007207
"148",26,655,1569,1662,91232,55,1855,4419,9333,246,6364,3989,9333,39049007209
"149",0,523.9845941,467.9958456,553.9569974,97688,31,537.9942878,3366.953891,9333.7665,366.9960063,7454.838841,1758.999455,9262.818974,39049007210
"150",0,324,1031,1084,31435,181,1188,4028,9401,46,7543,1200,9390,39049007393
"151",0,207,241,318,4181,55,268,1274,3167,37,2401,277,3167,39049007394
"152",0,957,1846,4078,444548,140,2085,5726,15002,153,8119,3973,15002,39049007395
"153",0,2138.797595,1139.964325,4393.842172,106534,74,1458.937181,5270.645702,15324.04861,48.98117073,8019.449811,2383.948508,15324.08137,39049007396
"154",0,322,553,1252,55061,0,641,2384,6434,86,3947,1631,6350,39049007424
"155",0,0,370,297,3546,10,482,1165,2591,2,2104,822,2545,39049007425
"156",0,40,484,102,6984,88,571,1679,3814,84,3457,1124,3814,39049007426
"157",14,40,583,1104,11195,64,674,2560,6108,108,4493,2330,6108,39049007427
"158",0,565,466,785,1521,139,640,2421,5913,52,4224,1604,5886,39049007492
"159",0,191,210,928,100,0,342,1532,4371,0,2785,1073,4364,39049007494
"160",0,12,400,1376,1849,0,433,813,1661,19,180,983,1661,39049007511
"161",0,1,577,3407,72725,32,675,1848,4416,81,604,2340,4407,39049007512
"162",0,0,498,1196,3969,0,548,1264,2243,159,462,1179,2243,39049007520
"163",0,161,574,1724,41171,1,677,1360,2810,105,719,2277,2798,39049007531
"164",0,36,363,2686,12826,0,478,1239,3072,68,288,2663,3072,39049007532
"165",0,34,211,1163,102610,73,343,773,1957,51,407,915,1957,39049007533
"166",0,25,336,2847,98645,143,398,1477,3898,88,665,2380,3885,39049007534
"167",0,67,277,2074,20000,0,407,1053,3393,43,1058,932,2793,39049007550
"168",0,991,840,7608,127652,22,1140,3787,11253,211,1721,7305,11253,39049007551
"169",0,130,627,1651,86241,12,799,1954,4498,176,2353,2280,4493,39049007710
"170",0,509,521,3989,459185,240,802,2595,6812,349,1600,5020,6800,39049007721
"171",0,470,673,1086,41946,0,814,1850,3989,138,2121,1348,3984,39049007722
"172",0,217,451,842,121104,34,530,1464,3224,76,1742,985,3220,39049007730
"173",0,29.99317874,405.9836013,315.9281494,81,0,461.9813394,902.9656816,1641.62665,42.99836579,1241.7176,369.9859382,1610.93493,39049007740
"174",0,166.4474217,686.8767112,336.9735078,4189,24.4299497,865.7317581,1979.105645,4066.735082,75.53162434,3380.952265,1595.201782,4067.249949,39049007811
"175",0,488,424,568,18212,48,1049,2390,4886,399,3545,2665,4641,39049007812
"176",0,1343,673,181,77639,110,1286,1998,3923,249,1816,3877,3923,39049007820
"177",0,395,1247,273,67813,88,1649,2262,3084,263,2244,2330,3079,39049007830
"178",0,340,905,300,46207,184,975,3846,10210,65,9012,1228,10210,39049007921
"179",0,675,652,101,85384,17,835,2795,6469,69,5164,3107,6469,39049007922
"180",0,121,312,240,441,15,389,1691,4460,21,3722,920,4460,39049007931
"181",0,318,720,513,165320,279,875,2892,7680,0,6264,974,7680,39049007933
"182",0,108,460,312,44303,0,600,1341,2887,65,2240,849,2873,39049007941
"183",0,803,1173,272,31793,119,1684,4427,10399,57,8481,3470,10399,39049007951
"184",0,387,1367,127,8298,195,1584,4128,8929,220,7989,3023,8865,39049007952
"185",0,503,685,1143,139310,202,1019,2780,6812,46,4772,2228,6812,39049007953
