"","GEOID","blackpoverty_2021","fouryeardegree_2021","graddegree_2021","hsgrad_2021","latinopoverty_2021","lessthanhs_2021","over25population_2021","poverty_2021","white25andolder_2021","whitepoverty_2021","pctlessthanhs_2021","pcthsgrad_2021","pctfouryeardegree_2021","pctgraddegree_2021"
"186",39049007722,108,457,50,652,286,484,2801,505,1542,348,17.2795430203499,23.2774009282399,16.3156015708675,1.78507675830061
"187",39049007730,75,669,231,664,348,145,2430,439,1398,26,5.96707818930041,27.3251028806584,27.5308641975309,9.50617283950617
"188",39049007740,90,291,153,273,9,160,1340,191,1071,84,11.9402985074627,20.3731343283582,21.7164179104478,11.4179104477612
"189",39049007811,152,1220,926,342,86,52,3065,886,2558,711,1.69657422512235,11.1582381729201,39.8042414355628,30.2120717781403
"190",39049007812,297,1228,439,455,163,151,3144,1105,2522,408,4.8027989821883,14.472010178117,39.058524173028,13.9631043256997
"191",39049007820,146,610,539,214,401,232,2011,1638,918,619,11.5365489806067,10.6414719045251,30.3331675783192,26.8025857782198
"192",39049007830,34,1031,816,49,256,44,2262,654,1626,456,1.94518125552608,2.16622458001768,45.579133510168,36.0742705570292
"193",39049007922,0,1496,1337,548,368,28,4411,116,3604,16,0.634776694627069,12.4234867377012,33.9152119700748,30.3105871684425
"194",39049007931,0,809,374,957,21,231,3238,258,2812,220,7.13403335392217,29.5552810376776,24.9845583693638,11.550339715874
"195",39049007941,13,860,446,237,223,134,2106,165,1715,132,6.3627730294397,11.2535612535613,40.8357075023742,21.1775878442545
"196",39049007955,0,607,281,515,0,0,1921,70,1566,70,0,26.8089536699636,31.5981259760541,14.6277980218636
"197",39049007956,325,872,497,468,428,201,2972,682,2542,335,6.76312247644684,15.7469717362046,29.3405114401077,16.7227456258412
"198",39049007957,0,977,945,799,114,110,4212,300,3908,270,2.61158594491928,18.9696106362773,23.1956315289649,22.4358974358974
"199",39049007958,0,1034,802,207,0,46,2447,16,2093,16,1.87985288107887,8.45933796485492,42.2558234572946,32.7748263179403
"200",39049007959,0,266,183,249,98,68,1210,71,919,71,5.6198347107438,20.5785123966942,21.9834710743802,15.1239669421488
"201",39049007960,198,1173,478,490,364,295,3300,742,2412,308,8.93939393939394,14.8484848484848,35.5454545454545,14.4848484848485
"202",39049007961,0,1128,714,383,108,87,2794,55,2624,51,3.11381531853973,13.7079455977094,40.3722261989979,25.5547602004295
"203",39049007962,0,1194,761,588,243,62,3523,844,3219,743,1.75986375248368,16.6903207493613,33.8915696849276,21.6009083167755
"204",39049007963,0,1053,621,269,66,269,2609,377,2206,377,10.3104637792258,10.3104637792258,40.3602912993484,23.8022230739747
"205",39049007964,50,2117,1028,530,215,118,4754,278,3965,214,2.48212031973075,11.1485065208246,44.5309213294068,21.6238956668069
"206",39049007965,43,591,331,458,249,120,2203,536,1767,355,5.44711756695415,20.7898320472083,26.8270540172492,15.0249659555152
"207",39049007966,347,1031,312,634,242,133,3137,965,2104,415,4.23971947720752,20.2103920943577,32.8657953458719,9.94580809690787
"208",39049008001,0,628,683,345,37,37,2355,69,2110,53,1.57112526539278,14.6496815286624,26.6666666666667,29.0021231422505
"209",39049008002,0,633,137,747,88,33,2328,47,2294,47,1.41752577319588,32.0876288659794,27.1907216494845,5.88487972508591
"210",39049008110,35,310,243,1470,605,341,3080,266,2346,216,11.0714285714286,47.7272727272727,10.0649350649351,7.88961038961039
"211",39049008120,33,201,78,1153,876,912,3003,633,1941,317,30.3696303696304,38.3949383949384,6.69330669330669,2.5974025974026
"212",39049008132,288,925,323,1545,1064,513,4912,423,3946,96,10.4438110749186,31.4535830618893,18.8314332247557,6.5757328990228
"213",39049008163,145,357,117,624,1058,313,2361,891,1410,304,13.2570944515036,26.4294790343075,15.1207115628971,4.95552731893266
"214",39049008164,557,251,72,1042,678,537,2863,1128,1727,571,18.7565490743975,36.3953894516242,8.76702759343346,2.5148445686343
"215",39049008165,0,296,74,565,8,128,1486,141,1284,50,8.61372812920592,38.021534320323,19.9192462987887,4.97981157469717
"216",39049008166,0,1446,583,672,261,185,3680,319,2970,310,5.02717391304348,18.2608695652174,39.2934782608696,15.8423913043478
