GEOID,totalpopulation_1970,white_1970,black_1970,poverty_1970,pctpoverty_1970,pctwhite_1970,pctblack_1970
39049005610,3666,2732,798,106,36.93379791,74.52264048,21.76759411
39049005620,3693,3240,182,141,35.69620253,87.73354996,4.928242621
39049005700,5787.297,5591.145,17.36953,303.3755,26.28498377,96.6106457,0.300131996
39049005810,4424.577,4285.315,1.770419,168.9664,32.15953693,96.85253528,0.040013294
39049005820,2752.876,2581.557,32.35218,90.43904,36.82635238,93.77672659,1.175213849
39049005900,3693,3601,18,95,33.80782918,97.50880043,0.487408611
39049006000,3631,2652,917,127,51.20967742,73.03773065,25.25475076
39049006100,5047.321,4240.685,552.4012,184.1338,44.77273921,84.01853181,10.9444436
39049006220,475.2388,462.076,0,4.591679,36.14456475,97.23027665,0
39049006230,1546.626,1503.788,0,14.94324,36.14456433,97.2302289,0
39049006236,394.2944,383.3735,0,3.809608,36.14459706,97.23026754,0
39049006310,5975,5809,25,14,27.45098039,97.22175732,0.418410042
39049006321,5507.951,5279.397,6.451655,72.01598,23.32975906,95.85047144,0.117133486
39049006323,3073.707,2947.596,3.590636,39.84537,23.15422798,95.89710405,0.116817771
39049006330,6130,6077,0,59,25.76419214,99.13539967,0
39049006340,944,931,0,16,22.85714286,98.62288136,0
39049006351,467.5508,462.7041,2.154116,8.077934,17.48251464,98.96338537,0.460723412
39049006352,166.881,165.1511,0.7688597,2.883224,17.48251884,98.96339308,0.46072333
39049006353,424.9301,417.9149,1.672261,6.997579,18.20393747,98.34909318,0.393537902
39049006371,795.7533,787.5043,3.666221,13.74833,17.48251917,98.96337219,0.460723317
39049006372,489.7787,484.7016,2.256525,8.461969,17.48251845,98.96338898,0.460723384
39049006383,1602.786,1554.167,2.746848,15.65704,54.80771318,96.96659442,0.171379585
39049006384,427.3778,414.4137,0.7324384,4.174899,54.80769647,96.9665949,0.171379608
39049006386,715.4986,693.7946,1.226219,6.989447,54.8076718,96.96659085,0.17137965
39049006387,663.9037,643.7648,1.137796,6.485435,54.80771262,96.9665932,0.171379674
39049006391,1133.998,1099.599,1.943441,11.07761,54.80769136,96.96657313,0.171379579
