GEOID,totalpopulation_1990,white_1990,black_1990,poverty_1990,pctpoverty_1990,pctwhite_1990,pctblack_1990
39049000110,3666.000006,3606.000006,20.00000003,141.0000002,3.853511888,98.36333879,0.545553737
39049000120,3235.580096,3194.585416,5.999221439,81.98935966,2.533992583,98.73300371,0.185414091
39049000210,2910.496522,2852.117103,9.416035335,58.37941908,2.005823358,97.99417664,0.323519896
39049000220,4335.923387,4242.297487,24.58474305,143.6312216,3.312586703,97.84069293,0.567001325
39049000310,3609.453621,3291.28689,240.0970067,375.2243284,10.39059218,91.18518302,6.651893387
39049000320,2645.000007,2559.000007,35.0000001,137.0000004,5.273287144,96.74858223,1.323251418
39049000330,2680.000015,2434.000014,187.000001,298.0000017,11.09869646,90.82089552,6.97761194
39049000410,2593.107837,2490.700193,38.40286641,130.7526166,5.051218651,96.05077574,1.480959097
39049000420,3452.000002,3339.000002,33.00000002,218.0000001,6.361248906,96.72653534,0.955967555
39049000500,4235.909171,3967.259776,121.0030431,308.4858599,7.320714894,93.65781029,2.856601457
39049000600,4147.699797,3681.939092,227.5272098,886.5909885,21.5273434,88.77062642,5.485623863
39049000710,3615.000007,2969.000006,572.0000011,638.0000012,17.71730075,82.13001383,15.82295989
39049000720,3177.000017,956.0000051,2142.000011,721.0000038,22.94716741,30.09128108,67.42209632
39049000730,4659.999986,195.9999994,4387.999987,1973.999994,42.57981018,4.206008584,94.16309013
39049000810,2869.999975,2539.999978,238.9999979,240.9999979,8.435421771,88.50174216,8.327526132
39049000820,3631.705164,2584.825344,983.1036206,634.6417648,17.53012602,71.17387639,27.07002844
39049000910,4344.000045,1582.000016,2685.000028,702.0000072,16.26129256,36.41804788,61.80939227
39049000920,2989.886809,1403.131126,1526.87811,968.0207627,32.70397842,46.92923899,51.06809079
39049001000,6044.612876,5314.211473,302.185909,2133.392622,35.50772528,87.91648998,4.999259923
39049001110,3752.283457,3145.101173,141.0668946,2265.170586,60.36998852,83.8183258,3.759494618
39049001121,8902.720338,7212.691842,770.5564732,482.3306978,32.55632771,81.01671812,8.655292359
39049001122,2454.272596,1988.371111,212.4244685,132.9673368,32.55632771,81.01671812,8.655292359
39049001200,4910.38732,4282.788698,218.8140997,2655.607483,61.90586599,87.21895888,4.456147458
39049001300,6998.999998,5965.999999,581.9999999,3448.999999,59.3529513,85.24074868,8.315473639
39049001400,2184.000008,266.0000009,1874.000006,1031.000004,48.38104176,12.17948718,85.80586081
39049001500,3026.000015,138.0000007,2792.000014,1647.000008,55.7549086,4.560475876,92.26701917
39049001600,2382.999978,800.9999927,1543.999986,1380.999987,55.95623987,33.61309274,64.79227864
39049001700,3080.999964,2174.999974,764.999991,1823.999978,59.20155794,70.593963,24.82960078
39049001810,3962.718722,3364.701347,176.5760927,2372.558329,59.47664466,84.90891187,4.455933038
39049001820,2821.454813,2469.895635,222.501949,693.4436548,25.15353839,87.53979061,7.886071681
39049001901,1501.251133,1397.017392,60.1421961,192.7847944,12.97204798,93.05687511,4.006138265
39049001902,3733.504582,3481.485761,144.7636582,464.2764511,12.57245909,93.2498055,3.877420131
39049002000,3228.545181,2731.104359,415.4980511,601.5563431,18.727491,84.59241565,12.86951329
39049002100,1558.000004,1408.000004,110.0000003,316.0000009,21.4673913,90.37227214,7.060333761
39049002200,1923.000002,1368.000001,493.0000005,747.0000008,38.56479091,71.13884555,25.63702548
39049002300,2272.672683,221.7952181,2026.819265,1072.775417,45.94954645,9.759224005,89.18218974
39049002510,3436.999989,522.9999984,2870.999991,511.9999984,15.08989095,15.2167588,83.53215013
39049002520,3411.999988,360.9999988,2982.99999,1039.999996,33.71150729,10.58030481,87.42672919
39049002600,4801.073472,2246.994282,2478.836534,1411.478699,30.37701288,46.80191409,51.63088106
39049002710,4254.000061,1948.000028,2146.000031,1480.000021,35.03787879,45.79219558,50.44663846
39049002730,2156.000012,1604.000009,499.0000028,296.0000017,13.8901924,74.39703154,23.14471243
39049002740,2352.999994,2086.999995,227.9999994,142.9999996,5.906650145,88.69528262,9.689757756
39049002750,2605.999995,1779.999997,747.9999985,585.9999989,23.19873317,68.30391404,28.70299309
39049002760,3297.000009,2771.000008,444.0000013,297.0000008,9.057639524,84.04610252,13.46678799
39049002770,2022.524829,1566.187197,395.7530057,292.2379277,14.37282701,77.43722969,19.56727552
39049002780,2433.000009,1890.000007,527.000002,81.0000003,3.606411398,77.68187423,21.66050144
39049002800,3217.706806,205.6429162,2972.05192,1681.433256,52.68221574,6.390977444,92.36552921
39049002900,2961.620705,155.5618771,2582.128992,2077.791441,70.27479893,5.25259284,87.18634995
39049003000,1632.761098,761.888977,815.8792525,726.8965944,47.64129005,46.66261206,49.96929762
39049003200,1942.943589,1648.469313,197.5923557,396.5878417,23.85841301,84.84391013,10.16974228
39049003600,2009.238915,134.1110282,1846.120755,760.103411,36.94790911,6.674717836,91.88159463
39049003700,4522.000002,593.0000003,3823.000002,1855.000001,42.1686747,13.11366652,84.54223795
39049003800,2631.999993,784.9999979,1790.999995,983.9999974,39.9026764,29.82522796,68.04711246
39049004000,2709.000013,1764.000008,856.000004,524.0000025,26.61249365,65.11627907,31.59837578
39049004200,2606.61047,1968.409309,536.7316472,1274.987405,51.51024771,75.51605168,20.59117208
39049004300,4458.287528,3823.57635,413.2752155,1338.934957,32.13260832,85.76334134,9.269819698
39049004500,6370.449906,5699.052908,510.250141,1088.000009,19.49196059,89.46076011,8.009640583
39049004610,3726.999987,3613.999987,77.99999972,160.9999994,4.326793873,96.96807083,2.092836061
39049004620,3109.000023,2697.00002,321.0000024,528.0000039,17.44301288,86.74815053,10.3248633
39049004700,6054.999956,3444.999975,2401.999983,1849.999987,31.00385453,56.89512799,39.66969447
39049004810,2900.574866,2756.865899,75.27612561,195.5224042,6.816632584,95.04550051,2.595214021
39049004820,2992.000007,2453.000006,459.0000011,451.0000011,15.13422819,81.98529412,15.34090909
39049004900,6910.261554,5312.784006,1401.221417,1372.323195,21.18292591,76.88253136,20.27740059
39049005000,4805.301612,4173.39195,518.257613,1899.049119,39.91967869,86.84973988,10.78512141
39049005100,4580.734718,2836.88362,1579.326545,2712.286911,60.4646286,61.93075553,34.47758148
39049005200,2424.123432,2210.121668,166.0358515,272.1143122,11.48306734,91.17199391,6.849315068
39049005300,4493.571519,747.1075427,3627.944187,2361.783436,54.36558735,16.62614113,80.73631791
39049005410,2232.846896,149.3183747,2040.745371,836.4323498,38.29527649,6.687353932,91.39656528
39049005420,2937.567834,158.5731624,2745.297875,1024.779062,34.87352445,5.398110661,93.45479082
39049005500,6055.078773,712.1649161,5233.514887,2211.832785,36.7675815,11.76144758,86.43182167
