GEOID,totalpopulation_1980,white_1980,black_1980,poverty_1980,pctpoverty_1980,pctblack_1980,pctwhite_1980
39049000110,3876.000006,3839.000006,15.00000002,137.0000002,3.534571723,0.386996904,99.04540764
39049000120,3497.546099,3463.550511,10.99857264,79.98961918,2.287021155,0.314465409,99.02801601
39049000210,3158.138251,3123.298921,8.474431801,44.25536607,1.401311866,0.268336315,98.89683959
39049000220,4506.315657,4463.150575,14.52699562,54.75501584,1.2150728,0.322369686,99.04212034
39049000310,3941.266683,3821.818091,76.6342086,215.3674223,5.471993956,1.944405562,96.96928422
39049000320,2894.000008,2868.000008,16.00000004,50.00000014,1.727712509,0.552868003,99.1015895
39049000330,2453.259339,2373.665489,58.3688235,239.6659268,9.81173063,2.379235761,96.7555876
39049000410,2658.137198,2603.940907,17.62604033,205.6437414,7.736510104,0.663097463,97.96111763
39049000420,3627.576954,3558.949884,25.11757566,139.1659586,3.853360817,0.692406418,98.10818431
39049000500,4193.62389,4051.139516,33.57521868,308.9960567,7.380040407,0.800625415,96.60235686
39049000600,4242.924646,4040.180229,130.0683697,894.9840276,21.15918064,3.065535699,95.22158809
39049000710,3889.000007,3390.000006,441.0000008,520.000001,13.37104654,11.33967601,87.16893803
39049000720,3502.000019,1084.000006,2377.000013,587.0000031,16.90668203,67.87549971,30.95374072
39049000730,5353.999984,235.9999993,5094.999985,1823.999995,34.19572553,95.16249533,4.407919313
39049000810,3037.999973,2823.999975,180.9999984,253.9999978,8.418959231,5.957867018,92.95589203
39049000820,3750.173728,3152.602863,568.0299712,395.0233366,10.57386875,15.14676419,84.06551515
39049000910,4535.000046,1846.000019,2653.000027,785.000008,17.41735079,58.50055127,40.70562293
39049000920,3038.786827,1901.112941,1100.749383,760.4451765,25.06578947,36.22331691,62.56157635
39049001000,5597.742247,5220.327305,232.3044999,1573.462951,28.2941044,4.149967783,93.25772918
39049001110,3209.737549,2891.789689,181.612803,1596.210264,49.73119872,5.658182333,90.09427233
39049001121,9887.850451,8780.675846,629.2469837,459.4740225,30.49878145,6.363840015,88.80267647
39049001122,2725.850018,2420.627773,173.4687342,126.6662839,30.49878145,6.363840015,88.80267647
39049001200,4934.257949,4488.672873,240.6955097,1930.537125,45.29754959,4.87804878,90.96956259
39049001300,6758.999998,6016.999999,487.9999999,3110.999999,59.40423907,7.220002959,89.02204468
39049001400,2428.869347,375.3449322,2042.178976,846.1806407,35.45958796,84.07940833,15.45348385
39049001500,3479.130783,198.6550863,3245.821135,1747.819408,50.50514172,93.29402478,5.709905682
39049001600,2372.558749,1186.752939,1117.612504,1245.474952,50.83107847,47.10578842,50.01996008
39049001700,3332.999961,2750.999967,516.9999939,1600.999981,49.32224276,15.51155116,82.53825383
39049001810,3550.057467,3215.440893,196.0872632,1853.561195,53.01339286,5.523495466,90.57433361
39049001820,3260.545884,2980.200233,210.0126422,1150.064989,35.53583623,6.441027046,91.40187988
39049001901,1575.91579,1502.4476,50.13894729,169.2975387,10.75957495,3.181575285,95.33806371
39049001902,3921.569833,3744.268756,121.0633614,412.9133176,10.55229049,3.087114766,95.47882392
39049002000,3622.540982,3221.908542,354.7656414,1062.42481,29.78220939,9.793281654,88.94056848
39049002100,1671.91339,1574.891452,87.22174191,514.5102753,30.25936599,5.216881594,94.19695193
39049002200,2435.441279,1966.247076,441.3875079,1055.525062,45.13150274,18.12351264,80.73473553
39049002300,2159.839452,231.7056403,1914.877756,662.6037957,29.93756532,88.65833773,10.72791036
39049002510,4026.999988,589.9999982,3398.99999,643.999998,16.32860041,84.40526446,14.65110504
39049002520,4010.999986,492.9999983,3471.999988,1087.999996,30.1134791,86.56195462,12.2911992
39049002600,5290.622878,2999.545719,2243.14643,1259.847799,25.36720991,42.39853192,56.69551182
39049002710,4810.000068,2399.000034,2234.000032,1878.000027,39.50357594,46.44490644,49.87525988
39049002730,2132.000012,1980.000011,108.0000006,252.0000014,12.09793567,5.065666041,92.87054409
39049002740,2453.999994,2350.999994,75.99999981,44.99999989,1.743510267,3.096984515,95.80277099
39049002750,2511.999995,2203.999996,248.9999995,259.9999995,10.76604555,9.912420382,87.7388535
39049002760,3447.00001,3236.000009,144.0000004,212.0000006,6.150275602,4.177545692,93.87873513
39049002770,2199.120087,2032.677347,136.7231999,133.4415195,6.204712554,6.217177533,92.43139378
39049002780,2610.00001,2292.000009,313.0000012,97.00000036,3.863002788,11.99233716,87.81609195
39049002800,3989.57048,203.7050048,3744.82841,1245.707292,32.50789609,93.86545316,5.10593824
39049002900,2748.590109,152.5893571,2564.293872,1331.688935,48.66039102,93.29488104,5.551550108
39049003000,3688.503113,1907.887331,1706.621769,879.8204074,42.18588909,46.2686818,51.72524661
39049003200,2088.095192,1842.358668,210.7757163,377.7354056,20.5296655,10.09416224,88.23154595
39049003600,2547.4968,190.1126365,2336.378178,1094.179566,42.55156815,91.71270315,7.462723271
39049003700,5171.000003,703.0000003,4416.000002,1860.000001,36.55660377,85.39934249,13.59504931
39049003800,2785.999993,689.9999982,2056.999994,935.9999975,36.40606768,73.83345298,24.7666906
39049004000,3087.000015,2349.000011,685.0000032,817.0000038,34.18410042,22.18982831,76.09329446
39049004200,2861.27793,2482.416309,360.9914863,1002.298986,37.08249576,12.61644255,86.75900661
39049004300,3815.130872,3342.515537,449.3954539,1007.754492,28.15056926,11.77929327,87.61208067
39049004500,6338.487246,6038.339777,243.3590433,461.225268,8.170662672,3.83938681,95.26468293
39049004610,4004.999986,3948.999986,43.99999984,270.999999,6.786877035,1.098626717,98.60174782
39049004620,3195.000024,2925.000022,245.0000018,400.000003,12.63024945,7.668231612,91.54929577
39049004700,6294.999955,3557.999974,2635.999981,1031.999993,16.5093585,41.87450357,56.52104845
39049004810,2957.276363,2921.104718,25.41791254,168.1492676,5.685950413,0.859504132,98.7768595
39049004820,3161.000007,2712.000006,432.000001,569.0000013,18.13834874,13.66656121,85.79563429
39049004900,6835.229268,5608.09949,1171.373683,966.3474991,15.2707685,17.13729909,82.04698438
39049005000,5755.631874,5255.628191,469.011874,1434.939685,28.93440966,8.148746901,91.31279252
39049005100,4381.456256,2948.708132,1389.075865,1718.378403,42.38629354,31.7035201,67.29972776
39049005200,2639.047618,2456.408181,145.7425808,533.1595676,20.31634446,5.522544565,93.07934289
39049005300,5197.772102,1135.541559,4005.799322,2243.766298,45.11637458,77.06762134,21.84669771
39049005410,2752.440857,295.4898653,2420.141661,987.4485608,36.54873473,87.92710858,10.7355573
39049005420,3470.770093,225.9667565,3218.044115,1024.779062,29.71264368,92.7184466,6.510565391
39049005500,6702.405488,1602.297569,5012.508176,1714.818074,25.83566844,74.78670435,23.90630605
39049005610,3072.000019,2103.000013,927.0000059,1130.000007,36.87989556,30.17578125,68.45703125
39049005620,3272.999995,2972.999995,273.9999996,539.9999992,16.66666667,8.371524595,90.83409716
39049005700,4239.187158,4147.243896,56.60742364,526.9866099,12.47912292,1.335336741,97.83111104
39049005810,3551.023637,3483.393307,25.41449846,394.1686985,11.10416921,0.715694996,98.09546946
39049005820,2416.854708,2376.414486,13.97025843,480.8710006,20.0921659,0.578034682,98.32674171
39049005900,3338.000008,2669.000007,606.0000015,743.0000019,22.29891957,18.15458358,79.95805872
39049006000,3115.000015,2129.00001,940.0000045,1068.000005,34.49612403,30.17656501,68.34670947
39049006100,3957.47365,3597.618346,280.40673,1182.381712,30.0903901,7.085498347,90.90694379
39049006220,640.3861665,635.4883755,1.683615638,25.40729054,3.977953511,0.26290631,99.23518164
39049006230,2084.084377,2068.144917,5.479189327,82.68594802,3.977953511,0.26290631,99.23518164
39049006236,531.31328,527.2496985,1.396856138,21.07982899,3.977953511,0.26290631,99.23518164
39049006310,5126.999935,4972.999937,12.99999983,53.99999931,1.053247513,0.253559587,96.99629413
39049006321,4938.474715,4804.647353,11.27994833,165.7586356,3.417937541,0.228409559,97.29010738
39049006323,3665.159222,3586.450731,20.65242534,92.78351438,2.531791545,0.563479622,97.85252191
39049006330,4970.000002,4883.000002,3.000000001,185.0000001,3.72983871,0.060362173,98.24949698
39049006340,2640.000001,2549.000001,13,85.00000002,3.21969697,0.492424242,96.5530303
39049006351,3386.000008,3278.000008,37.00000009,62.00000015,1.841401841,1.09273479,96.81039575
39049006352,2571.000021,2461.00002,60.00000049,282.0000023,10.96849475,2.333722287,95.72150914
39049006353,3126.629898,2997.616772,39.16536661,188.5090617,6.041416334,1.252638396,95.8737321
