"","GEOID","totalpopulation_1970","white_1970","black_1970","poverty_1970","pctpoverty_1970","pctwhite_1970","pctblack_1970","totalpopulation_1980","white_1980","black_1980","poverty_1980","pctpoverty_1980","pctblack_1980","pctwhite_1980","totalpopulation_1990","white_1990","black_1990","poverty_1990","pctpoverty_1990","pctwhite_1990","pctblack_1990"
"22",39049001122,3047.687,2930.998,45.11384,76.90782,40.29234916,96.17122756,1.48026487,2725.850018,2420.627773,173.4687342,126.6662839,30.49878145,6.363840015,88.80267647,2454.272596,1988.371111,212.4244685,132.9673368,32.55632771,81.01671812,8.655292359
"23",39049001200,4457.84,4290.746,35.80594,995.6042,51.75801307,96.25168243,0.803212767,4934.257949,4488.672873,240.6955097,1930.537125,45.29754959,4.87804878,90.96956259,4910.38732,4282.788698,218.8140997,2655.607483,61.90586599,87.21895888,4.456147458
"24",39049001300,6300,5838,148,1556,52.97923051,92.66666667,2.349206349,6758.999998,6016.999999,487.9999999,3110.999999,59.40423907,7.220002959,89.02204468,6998.999998,5965.999999,581.9999999,3448.999999,59.3529513,85.24074868,8.315473639
"25",39049001400,3749.127,958.4805,2620.428,140.3591,41.61804377,25.56543163,69.89435141,2428.869347,375.3449322,2042.178976,846.1806407,35.45958796,84.07940833,15.45348385,2184.000008,266.0000009,1874.000006,1031.000004,48.38104176,12.17948718,85.80586081
"26",39049001500,4255.873,398.5194,3679.571,235.6409,55.21824998,9.36398713,86.45866547,3479.130783,198.6550863,3245.821135,1747.819408,50.50514172,93.29402478,5.709905682,3026.000015,138.0000007,2792.000014,1647.000008,55.7549086,4.560475876,92.26701917
"27",39049001600,2978.721,1124.242,1749.348,155.3292,36.44444194,37.74244046,58.72815883,2372.558749,1186.752939,1117.612504,1245.474952,50.83107847,47.10578842,50.01996008,2382.999978,800.9999927,1543.999986,1380.999987,55.95623987,33.61309274,64.79227864
"28",39049001700,3620,3078,379,519,45.09122502,85.02762431,10.46961326,3332.999961,2750.999967,516.9999939,1600.999981,49.32224276,15.51155116,82.53825383,3080.999964,2174.999974,764.999991,1823.999978,59.20155794,70.593963,24.82960078
"29",39049001810,3959.792,3637.858,96.58029,1299.444,52.11266928,91.8699265,2.439024322,3550.057467,3215.440893,196.0872632,1853.561195,53.01339286,5.523495466,90.57433361,3962.718722,3364.701347,176.5760927,2372.558329,59.47664466,84.90891187,4.455933038
"30",39049001820,4577.429,4200.926,141.2716,484.2691,39.26768355,91.77479323,3.086265238,3260.545884,2980.200233,210.0126422,1150.064989,35.53583623,6.441027046,91.40187988,2821.454813,2469.895635,222.501949,693.4436548,25.15353839,87.53979061,7.886071681
"31",39049001901,1918.859,1828.659,46.0377,101.5053,20.04079421,95.29928984,2.399222663,1575.91579,1502.4476,50.13894729,169.2975387,10.75957495,3.181575285,95.33806371,1501.251133,1397.017392,60.1421961,192.7847944,12.97204798,93.05687511,4.006138265
